Features,score
1950,470
2113,461
10644,441
10818,432
226,419
3315,419
1605,417
595,414
9212,411
1277,409
1676,403
5627,400
5880,395
1019,389
5715,387
3553,385
5743,385
1050,378
727,375
6657,373
4776,373
6709,370
3091,370
5290,369
4846,368
1022,365
2534,364
2309,361
1906,359
466,357
23512,354
148022,344
5720,343
695,339
6194,337
1978,336
5899,336
8878,332
30849,331
5788,319
4794,315
902,311
427,309
3454,306
8321,304
1788,304
808,303
4313,301
23365,301
5467,300
6009,294
3162,294
6774,294
3383,292
6777,290
1677,285
30001,285
3108,284
8091,284
6908,281
5054,281
6790,281
387,280
8851,278
5721,277
1282,276
3486,273
4792,273
2115,273
2263,272
4793,269
51422,267
1958,267
2065,266
22926,264
348,263
4144,263
5321,261
5289,258
4282,257
2185,256
665,252
5777,250
5613,249
56924,249
1452,246
7027,245
5898,242
4893,241
1981,239
5921,238
7043,234
7015,225
1454,219
1213,219
672,216
351,216
5710,213
2690,210
2736,210
3329,208
4582,200
7157,193
10398,192
868,182
993,178
6850,147
8440,138
6500,125
4791,122
896,105
9491,97
8503,96
8726,94
5708,78
