Randomized.csv,Ensemble.csv,info_gain_ranking.csv,sym_uncertainty_ranking.csv,relief_ranking.csv,mrmr_ranking.csv,correlation_ranking.csv,info_gain_ratio_ranking.csv
"(1, 0.47530864197530864, 0.8430555555555556)","(1, 0.24074074074074076, 0.31527777777777777)","(1, 0.5185185185185186, 0.6152777777777777)","(1, 0.4382716049382716, 0.6152777777777777)","(1, 0.42592592592592593, 0.6152777777777777)","(1, 0.2777777777777778, 0.6291666666666667)","(1, 0.2530864197530864, 0.3016534391534391)","(1, 0.27777777777777773, 0.31527777777777777)"
"(2, 0.345679012345679, 0.5541005291005292)","(2, 0.2962962962962963, 0.46732804232804237)","(2, 0.43209876543209874, 0.7482804232804233)","(2, 0.5246913580246914, 0.7482804232804233)","(2, 0.30864197530864196, 0.46732804232804237)","(2, 0.4876543209876543, 0.7482804232804233)","(2, 0.37037037037037035, 0.5234126984126984)","(2, 0.5061728395061729, 0.7482804232804233)"
"(3, 0.3765432098765432, 0.4815476190476191)","(3, 0.5246913580246914, 0.7296957671957672)","(3, 0.4506172839506173, 0.7296957671957672)","(3, 0.4382716049382716, 0.5612433862433862)","(3, 0.5864197530864198, 0.7296957671957672)","(3, 0.537037037037037, 0.7607142857142857)","(3, 0.4382716049382716, 0.5484126984126984)","(3, 0.3641975308641975, 0.4487433862433863)"
"(4, 0.25308641975308643, 0.34160052910052907)","(4, 0.6296296296296295, 0.7579365079365079)","(4, 0.35185185185185186, 0.47698412698412695)","(4, 0.4753086419753086, 0.6357804232804232)","(4, 0.5185185185185185, 0.7321428571428571)","(4, 0.41975308641975306, 0.7321428571428571)","(4, 0.4506172839506173, 0.6752645502645502)","(4, 0.5679012345679012, 0.7579365079365079)"
"(5, 0.2839506172839506, 0.39636243386243386)","(5, 0.42592592592592593, 0.6607804232804232)","(5, 0.537037037037037, 0.6848544973544973)","(5, 0.33333333333333337, 0.49642857142857144)","(5, 0.43827160493827155, 0.6848544973544973)","(5, 0.4814814814814815, 0.6848544973544973)","(5, 0.5246913580246912, 0.6371693121693123)","(5, 0.4691358024691358, 0.6607804232804232)"
"(6, 0.3395061728395061, 0.40826719576719583)","(6, 0.5864197530864198, 0.6968915343915344)","(6, 0.2839506172839506, 0.3816137566137566)","(6, 0.22222222222222224, 0.3205026455026455)","(6, 0.43209876543209874, 0.7222222222222222)","(6, 0.30246913580246915, 0.4131613756613757)","(6, 0.3765432098765432, 0.524537037037037)","(6, 0.30246913580246915, 0.4131613756613757)"
"(7, 0.2839506172839506, 0.42962962962962964)","(7, 0.48765432098765427, 0.5712301587301588)","(7, 0.35802469135802467, 0.5714285714285714)","(7, 0.4506172839506173, 0.6334656084656085)","(7, 0.5246913580246914, 0.8013888888888889)","(7, 0.43209876543209874, 0.7724206349206348)","(7, 0.4074074074074074, 0.5784391534391534)","(7, 0.5246913580246914, 0.8521825396825395)"
"(8, 0.35185185185185186, 0.4550925925925926)","(8, 0.20370370370370372, 0.2540343915343915)","(8, 0.5308641975308641, 0.8025132275132275)","(8, 0.617283950617284, 0.8213624338624339)","(8, 0.47530864197530864, 0.7728835978835978)","(8, 0.23456790123456792, 0.2540343915343915)","(8, 0.2716049382716049, 0.4038359788359788)","(8, 0.4567901234567901, 0.5874338624338625)"
"(9, 0.308641975308642, 0.4445767195767196)","(9, 0.345679012345679, 0.46957671957671954)","(9, 0.41358024691358025, 0.7529100529100528)","(9, 0.5802469135802469, 0.8189814814814815)","(9, 0.42592592592592593, 0.5033730158730159)","(9, 0.5185185185185185, 0.891005291005291)","(9, 0.5246913580246914, 0.7447751322751323)","(9, 0.5432098765432098, 0.7529100529100528)"
"(10, 0.3888888888888889, 0.4977513227513228)","(10, 0.6358024691358024, 0.6267195767195768)","(10, 0.4506172839506173, 0.5507936507936508)","(10, 0.4320987654320988, 0.5270502645502645)","(10, 0.42592592592592593, 0.4797619047619048)","(10, 0.382716049382716, 0.5714285714285714)","(10, 0.40740740740740744, 0.506547619047619)","(10, 0.42592592592592593, 0.5507936507936508)"
