2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Arginine and proline metabolism,Arginine biosynthesis,Ascorbate and aldarate metabolism,Benzoate degradation,Biosynthesis of amino acids,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of type II polyketide products,Biosynthesis of various antibiotics,Biosynthesis of various other secondary metabolites,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Carbon metabolism,Carotenoid biosynthesis,Citrate cycle (TCA cycle),Cysteine and methionine metabolism,D-Amino acid metabolism,Degradation of aromatic compounds,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid elongation,Fatty acid metabolism,Folate biosynthesis,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glycosaminoglycan degradation,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Inositol phosphate metabolism,Lipoic acid metabolism,Lipopolysaccharide biosynthesis,Lysine biosynthesis,Lysine degradation,Mannose type O-glycan biosynthesis,Metabolic pathways,Methane metabolism,Microbial metabolism in diverse environments,Nicotinate and nicotinamide metabolism,Nitrogen metabolism,Nucleotide metabolism,O-Antigen nucleotide sugar biosynthesis,One carbon pool by folate,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Phenazine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Phenylpropanoid biosynthesis,Polyketide sugar unit biosynthesis,Porphyrin metabolism,Primary bile acid biosynthesis,Propanoate metabolism,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Riboflavin metabolism,Sphingolipid metabolism,Starch and sucrose metabolism,Streptomycin biosynthesis,Sulfur metabolism,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Thiamine metabolism,Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",Vitamin B6 metabolism,Xylene degradation,alpha-Linolenic acid metabolism,beta-Alanine metabolism,class
10210.133,1510.53,5622.022,1104.126,2577.638,2077.666,502.195,57918.332,75035.353,8290.104,47295.83,4.386,706.373,211.018,5979.772,399.157,1251.733,15063.398,20120.795,87630.074,32.2,19382.25,8631.653,84.562,858.24,20139.935,1613.779,488.961,22109.79,22515.284,815.229,3715.823,194.587,620.901,1124.987,4240.487,20847.329,1135.031,5244.683,1979.24,64.542,1358.475,3944.638,11752.488,558.279,261.222,288611.993,10180.073,64727.979,2534.238,3268.49,10659.401,1173.741,9435.691,7126.689,9930.913,830.151,15116.541,27.43,560.952,8866.957,339.609,1138.871,11704.865,0.0,722.137,10480.723,9073.316,5685.466,6396.582,38.865,4744.825,1138.871,1310.844,1061.934,4830.908,5673.86,1119.64,530.71,2436.874,11268.882,1698.368,688.628,498.319,60.771,151.99,Healthy
34489.444,3486.243,15460.923,3533.893,6901.58,5770.895,1092.599,175260.341,210915.035,22439.505,138382.109,1.921,1846.389,500.108,15347.406,860.233,5152.879,44115.191,66360.297,270272.044,12.924,57350.08,25144.459,219.919,1938.082,53043.008,3072.111,890.024,56521.313,68059.38,1787.222,9834.16,324.637,1484.531,3114.36,11978.623,57315.155,2945.959,16880.141,4818.296,75.288,3020.584,9930.833,33842.55,1811.281,706.844,846316.263,35730.664,207949.273,5768.715,16151.177,33612.316,3082.208,27615.07,18772.471,30789.134,2433.942,44008.107,9.626,1289.965,29007.995,838.19,3076.298,31184.186,0.0,3129.972,31390.012,28575.502,18782.03,17175.512,113.477,12648.267,3076.298,2717.022,3693.054,13561.553,15338.402,2627.192,1435.257,6866.942,39023.355,6643.898,1821.041,1091.307,10.128,286.164,Healthy
37191.318,5135.705,20014.732,3860.477,8146.441,6836.2,1356.725,208729.944,258761.559,30001.581,170496.004,19.343,2269.718,648.62,19200.028,1214.47,4837.526,57235.038,77691.104,323280.712,92.87,71427.651,31427.905,327.619,2396.172,70786.981,4892.606,1327.8,76430.957,72991.833,3040.529,13849.763,467.439,1787.091,3594.507,14992.594,75809.098,4810.258,18779.578,7388.989,174.046,4750.61,12347.605,42888.72,2095.114,1003.705,1034602.52,35537.556,239129.337,9485.403,13353.268,38231.216,5542.811,32629.51,32294.446,38344.731,3414.407,54980.454,130.848,1601.222,32382.101,1016.692,5054.782,39255.286,1.684,2566.876,38347.271,33531.333,23033.331,22666.656,123.066,17539.694,5054.782,4796.236,4009.26,16680.664,18498.742,4136.158,2232.37,9527.923,41779.141,6332.492,2699.587,1355.904,106.407,514.3,Healthy
27936.711,3714.036,13586.567,2826.987,7618.142,3711.116,1093.458,151423.208,183417.087,21077.395,125200.988,0.961,1992.457,900.025,15784.385,882.894,3877.448,37044.006,53661.155,223742.579,292.996,51890.018,21202.25,160.886,1938.467,53884.819,3862.301,1011.878,58163.89,51806.141,1642.639,8808.228,472.647,1397.254,2963.931,10851.779,49730.289,2714.384,14319.967,5477.309,376.698,3812.451,10556.652,30971.268,1911.213,616.813,733062.974,25219.443,163095.565,6266.219,10158.669,25420.212,3216.014,23353.173,24178.704,25683.265,2151.14,35638.985,83.98,1249.995,25112.2,763.443,3115.817,27450.095,3.384,1752.272,25229.913,22707.956,16382.403,14438.786,90.264,10698.402,3115.817,3410.793,2934.501,13544.82,14445.951,2716.086,1580.901,6850.954,30072.66,4657.966,2427.892,1086.998,116.508,329.911,Healthy
19882.093,2153.882,7446.857,1459.252,4992.714,2378.764,407.04,89248.055,94669.465,10575.023,74087.47,0.0,743.068,677.882,5928.079,622.789,2764.077,17644.391,28075.368,119300.424,2.26,32163.541,11167.4,35.262,764.655,27646.278,835.649,78.022,27995.483,28627.349,1270.46,4490.12,324.631,897.862,1304.765,5377.909,27462.892,687.793,6782.072,2576.385,103.8,2909.141,2316.374,14955.402,975.605,327.505,391860.74,13227.665,84680.043,3241.338,8079.759,13878.297,2162.557,13010.392,8776.804,15820.5,913.082,18865.627,37.658,445.371,15592.524,351.555,2157.403,12488.51,0.0,686.944,14220.522,12741.328,8940.066,7519.26,77.516,5639.962,2157.403,1365.783,1984.706,8883.019,6362.877,1585.625,1060.187,4288.102,22023.995,3099.064,1218.666,403.756,2.544,89.82,Healthy
29230.668,3618.226,14745.2,2540.599,6177.28,4769.48,1222.918,159345.446,204219.139,22219.097,134258.797,15.351,1645.241,896.599,14308.183,1004.511,4083.522,42521.786,59563.716,249117.998,165.352,59680.914,22837.069,337.767,2076.352,53180.791,5247.847,1030.417,58578.237,57253.089,2141.688,9659.475,485.934,1571.571,3228.99,12354.574,59057.147,2567.316,13645.875,4626.903,286.807,5586.455,9681.319,32274.539,2151.496,806.163,800465.441,27256.571,183574.123,7086.952,13630.836,27966.439,3906.69,25575.273,25197.912,29355.817,2373.185,39975.007,106.889,1331.101,24943.079,684.398,3866.82,31353.329,0.0,1914.728,28335.81,24180.948,18253.899,17606.39,123.407,11153.517,3866.82,3407.137,3349.031,14445.089,16570.112,3151.817,1706.121,7859.108,32251.763,5702.298,2334.526,1222.918,53.253,503.324,Healthy
29071.32,3972.491,17253.466,2740.073,6694.594,4785.911,1415.563,168480.049,232659.779,25842.857,147677.532,2.193,2301.507,1215.565,18356.794,1158.26,3829.757,46808.479,65914.623,276627.179,292.822,63626.055,25007.295,310.623,2505.549,63959.602,7328.529,1444.31,71822.983,63236.117,2271.759,11658.508,429.976,1762.967,3566.372,12552.044,65174.258,3783.284,15588.14,5269.942,382.643,5393.849,13018.43,34060.407,2469.433,860.358,894513.453,29039.032,199845.453,8108.262,10167.711,29907.773,4029.276,28111.675,28444.782,31006.635,2537.11,46892.028,141.44,1833.328,27652.56,871.711,3973.432,36286.495,0.0,2176.674,30526.569,26945.21,20237.151,20484.606,75.633,13610.01,3964.36,3661.115,3322.625,16839.866,20197.624,3414.373,1690.833,8243.916,32091.9,6283.39,3029.28,1415.563,113.949,645.9,Healthy
36407.119,4807.691,21786.507,3552.303,8879.691,5080.11,1809.532,204603.083,286563.89,32987.433,181204.917,179.628,2728.076,1653.032,23114.216,1143.064,5063.354,57214.476,75903.777,334624.428,441.159,80938.503,30357.132,600.386,2981.163,80160.902,9061.192,1950.032,90008.221,75003.492,2737.386,14051.858,714.346,2232.117,5349.769,15146.567,81468.321,4322.581,19770.085,5579.164,604.844,6531.792,16467.257,41177.919,3576.577,914.712,1093688.408,33097.32,238053.162,9041.979,13612.673,36791.113,4958.353,33004.769,37143.336,36658.254,2687.947,56268.848,147.058,2101.64,31815.519,1111.132,4787.171,52473.527,3.368,2737.154,37752.903,31528.045,25251.486,24707.662,279.197,14897.46,4787.171,4575.014,3966.517,20489.964,23339.674,3885.274,2110.48,10417.555,39469.539,8368.787,3772.649,1808.24,98.748,854.207,Healthy
50139.482,7377.453,26935.862,5050.125,13042.079,9115.336,1399.673,271937.304,354716.304,39941.337,230928.823,6.185,2590.257,1490.216,23952.889,1697.035,6897.97,71338.185,106126.557,428904.238,363.227,100438.055,40049.223,398.957,2643.958,90853.514,8885.405,2267.513,100877.799,99324.722,4505.617,15315.634,665.2,3059.163,4529.525,19191.622,96015.299,4870.71,26532.727,10913.94,300.112,8224.015,16975.645,54872.399,3087.022,1337.878,1381400.428,47442.905,315789.098,12465.204,21263.57,50898.693,7091.943,43570.461,44310.866,46764.804,4287.232,68390.183,213.887,2143.099,42573.108,1247.809,6844.023,57483.948,6.768,3810.354,50534.063,44804.007,30341.994,30261.73,213.722,21119.76,6844.023,5813.863,5171.458,24578.747,28971.251,5332.398,3214.863,14058.131,53395.126,9155.631,4079.545,1393.455,81.129,895.724,Healthy
24008.787,2497.107,11022.545,1700.792,4443.433,3685.363,634.887,126972.174,147996.679,16496.849,103302.959,0.0,1151.205,476.398,10463.906,708.029,3475.187,30243.631,48896.741,194970.188,11.97,46567.066,17910.053,97.097,1190.703,43372.635,1713.451,234.962,44654.16,44257.24,1872.063,7321.383,458.366,1319.869,2443.311,9233.274,43389.351,2469.221,10915.926,3062.804,238.438,4340.53,7027.772,26493.802,1420.294,501.482,610128.641,23412.005,144427.501,4802.143,11759.485,22039.599,2906.756,19582.607,18730.732,22175.018,1502.846,30515.928,28.97,828.503,20772.933,529.463,2878.578,20770.249,0.0,1593.905,20293.468,19666.209,14044.736,11392.69,88.247,8748.197,2878.578,2188.71,2689.457,9918.678,10560.547,2181.694,1292.553,6774.763,27412.474,5013.282,1604.668,634.887,5.064,147.268,Healthy
