Nitrogen metabolism,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Methane metabolism,Glycosaminoglycan degradation,Biosynthesis of type II polyketide products,Biosynthesis of various other secondary metabolites,"Valine, leucine and isoleucine biosynthesis",Glycolysis / Gluconeogenesis,alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Phenazine biosynthesis,"Glycine, serine and threonine metabolism",Citrate cycle (TCA cycle),Degradation of aromatic compounds,Phenylalanine metabolism,Thiamine metabolism,Pyruvate metabolism,Biosynthesis of secondary metabolites,Lysine degradation,Biosynthesis of amino acids,Pantothenate and CoA biosynthesis,Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Carbon fixation in photosynthetic organisms,O-Antigen nucleotide sugar biosynthesis,Primary bile acid biosynthesis,Glutathione metabolism,Carbon fixation pathways in prokaryotes,Lipopolysaccharide biosynthesis,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carotenoid biosynthesis,Carbon metabolism,Mannose type O-glycan biosynthesis,Galactose metabolism,Cysteine and methionine metabolism,Phenylpropanoid biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Microbial metabolism in diverse environments,Glycerophospholipid metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Porphyrin metabolism,Nicotinate and nicotinamide metabolism,Tyrosine metabolism,Arginine biosynthesis,Glyoxylate and dicarboxylate metabolism,Biosynthesis of nucleotide sugars,Pentose phosphate pathway,Arginine and proline metabolism,Sphingolipid metabolism,D-Amino acid metabolism,Inositol phosphate metabolism,Fatty acid metabolism,Fatty acid degradation,Fatty acid biosynthesis,Biosynthesis of cofactors,Pyrimidine metabolism,Nucleotide metabolism,Oxidative phosphorylation,Tryptophan metabolism,Amino sugar and nucleotide sugar metabolism,One carbon pool by folate,Riboflavin metabolism,Terpenoid backbone biosynthesis,Ascorbate and aldarate metabolism,Glycerolipid metabolism,Biotin metabolism,Fructose and mannose metabolism,Fatty acid elongation,Lipoic acid metabolism,Folate biosynthesis,Pentose and glucuronate interconversions,Vitamin B6 metabolism,Starch and sucrose metabolism,Purine metabolism,"Alanine, aspartate and glutamate metabolism",Sulfur metabolism,Xylene degradation,Benzoate degradation,Biosynthesis of various antibiotics,Histidine metabolism,Propanoate metabolism,beta-Alanine metabolism,Metabolic pathways,class
3268.49,1061.934,1698.368,10180.073,1135.031,4.386,211.018,11268.882,20847.329,60.771,11752.488,10210.133,27.43,4240.487,19382.25,858.24,560.952,5673.86,5685.466,47295.83,558.279,57918.332,9930.913,1138.871,1138.871,15063.398,1173.741,0.0,194.587,20120.795,3944.638,399.157,1251.733,32.2,87630.074,261.222,3715.823,8631.653,339.609,8866.957,64727.979,1124.987,2436.874,11704.865,2534.238,530.71,2577.638,5244.683,8290.104,15116.541,1104.126,38.865,84.562,64.542,22109.79,1613.779,20139.935,75035.353,9073.316,10659.401,7126.689,1119.64,5622.022,9435.691,6396.582,4830.908,2077.666,620.901,5979.772,815.229,488.961,1358.475,22515.284,830.151,688.628,4744.825,10480.723,1510.53,1310.844,498.319,502.195,706.373,1979.24,722.137,151.99,288611.993,Healthy
16151.177,3693.054,6643.898,35730.664,2945.959,1.921,500.108,39023.355,57315.155,10.128,33842.55,34489.444,9.626,11978.623,57350.08,1938.082,1289.965,15338.402,18782.03,138382.109,1811.281,175260.341,30789.134,3076.298,3076.298,44115.191,3082.208,0.0,324.637,66360.297,9930.833,860.233,5152.879,12.924,270272.044,706.844,9834.16,25144.459,838.19,29007.995,207949.273,3114.36,6866.942,31184.186,5768.715,1435.257,6901.58,16880.141,22439.505,44008.107,3533.893,113.477,219.919,75.288,56521.313,3072.111,53043.008,210915.035,28575.502,33612.316,18772.471,2627.192,15460.923,27615.07,17175.512,13561.553,5770.895,1484.531,15347.406,1787.222,890.024,3020.584,68059.38,2433.942,1821.041,12648.267,31390.012,3486.243,2717.022,1091.307,1092.599,1846.389,4818.296,3129.972,286.164,846316.263,Healthy
13353.268,4009.26,6332.492,35537.556,4810.258,19.343,648.62,41779.141,75809.098,106.407,42888.72,37191.318,130.848,14992.594,71427.651,2396.172,1601.222,18498.742,23033.331,170496.004,2095.114,208729.944,38344.731,5054.782,5054.782,57235.038,5542.811,1.684,467.439,77691.104,12347.605,1214.47,4837.526,92.87,323280.712,1003.705,13849.763,31427.905,1016.692,32382.101,239129.337,3594.507,9527.923,39255.286,9485.403,2232.37,8146.441,18779.578,30001.581,54980.454,3860.477,123.066,327.619,174.046,76430.957,4892.606,70786.981,258761.559,33531.333,38231.216,32294.446,4136.158,20014.732,32629.51,22666.656,16680.664,6836.2,1787.091,19200.028,3040.529,1327.8,4750.61,72991.833,3414.407,2699.587,17539.694,38347.271,5135.705,4796.236,1355.904,1356.725,2269.718,7388.989,2566.876,514.3,1034602.52,Healthy
10158.669,2934.501,4657.966,25219.443,2714.384,0.961,900.025,30072.66,49730.289,116.508,30971.268,27936.711,83.98,10851.779,51890.018,1938.467,1249.995,14445.951,16382.403,125200.988,1911.213,151423.208,25683.265,3115.817,3115.817,37044.006,3216.014,3.384,472.647,53661.155,10556.652,882.894,3877.448,292.996,223742.579,616.813,8808.228,21202.25,763.443,25112.2,163095.565,2963.931,6850.954,27450.095,6266.219,1580.901,7618.142,14319.967,21077.395,35638.985,2826.987,90.264,160.886,376.698,58163.89,3862.301,53884.819,183417.087,22707.956,25420.212,24178.704,2716.086,13586.567,23353.173,14438.786,13544.82,3711.116,1397.254,15784.385,1642.639,1011.878,3812.451,51806.141,2151.14,2427.892,10698.402,25229.913,3714.036,3410.793,1086.998,1093.458,1992.457,5477.309,1752.272,329.911,733062.974,Healthy
8079.759,1984.706,3099.064,13227.665,687.793,0.0,677.882,22023.995,27462.892,2.544,14955.402,19882.093,37.658,5377.909,32163.541,764.655,445.371,6362.877,8940.066,74087.47,975.605,89248.055,15820.5,2157.403,2157.403,17644.391,2162.557,0.0,324.631,28075.368,2316.374,622.789,2764.077,2.26,119300.424,327.505,4490.12,11167.4,351.555,15592.524,84680.043,1304.765,4288.102,12488.51,3241.338,1060.187,4992.714,6782.072,10575.023,18865.627,1459.252,77.516,35.262,103.8,27995.483,835.649,27646.278,94669.465,12741.328,13878.297,8776.804,1585.625,7446.857,13010.392,7519.26,8883.019,2378.764,897.862,5928.079,1270.46,78.022,2909.141,28627.349,913.082,1218.666,5639.962,14220.522,2153.882,1365.783,403.756,407.04,743.068,2576.385,686.944,89.82,391860.74,Healthy
13630.836,3349.031,5702.298,27256.571,2567.316,15.351,896.599,32251.763,59057.147,53.253,32274.539,29230.668,106.889,12354.574,59680.914,2076.352,1331.101,16570.112,18253.899,134258.797,2151.496,159345.446,29355.817,3866.82,3866.82,42521.786,3906.69,0.0,485.934,59563.716,9681.319,1004.511,4083.522,165.352,249117.998,806.163,9659.475,22837.069,684.398,24943.079,183574.123,3228.99,7859.108,31353.329,7086.952,1706.121,6177.28,13645.875,22219.097,39975.007,2540.599,123.407,337.767,286.807,58578.237,5247.847,53180.791,204219.139,24180.948,27966.439,25197.912,3151.817,14745.2,25575.273,17606.39,14445.089,4769.48,1571.571,14308.183,2141.688,1030.417,5586.455,57253.089,2373.185,2334.526,11153.517,28335.81,3618.226,3407.137,1222.918,1222.918,1645.241,4626.903,1914.728,503.324,800465.441,Healthy
10167.711,3322.625,6283.39,29039.032,3783.284,2.193,1215.565,32091.9,65174.258,113.949,34060.407,29071.32,141.44,12552.044,63626.055,2505.549,1833.328,20197.624,20237.151,147677.532,2469.433,168480.049,31006.635,3964.36,3973.432,46808.479,4029.276,0.0,429.976,65914.623,13018.43,1158.26,3829.757,292.822,276627.179,860.358,11658.508,25007.295,871.711,27652.56,199845.453,3566.372,8243.916,36286.495,8108.262,1690.833,6694.594,15588.14,25842.857,46892.028,2740.073,75.633,310.623,382.643,71822.983,7328.529,63959.602,232659.779,26945.21,29907.773,28444.782,3414.373,17253.466,28111.675,20484.606,16839.866,4785.911,1762.967,18356.794,2271.759,1444.31,5393.849,63236.117,2537.11,3029.28,13610.01,30526.569,3972.491,3661.115,1415.563,1415.563,2301.507,5269.942,2176.674,645.9,894513.453,Healthy
13612.673,3966.517,8368.787,33097.32,4322.581,179.628,1653.032,39469.539,81468.321,98.748,41177.919,36407.119,147.058,15146.567,80938.503,2981.163,2101.64,23339.674,25251.486,181204.917,3576.577,204603.083,36658.254,4787.171,4787.171,57214.476,4958.353,3.368,714.346,75903.777,16467.257,1143.064,5063.354,441.159,334624.428,914.712,14051.858,30357.132,1111.132,31815.519,238053.162,5349.769,10417.555,52473.527,9041.979,2110.48,8879.691,19770.085,32987.433,56268.848,3552.303,279.197,600.386,604.844,90008.221,9061.192,80160.902,286563.89,31528.045,36791.113,37143.336,3885.274,21786.507,33004.769,24707.662,20489.964,5080.11,2232.117,23114.216,2737.386,1950.032,6531.792,75003.492,2687.947,3772.649,14897.46,37752.903,4807.691,4575.014,1808.24,1809.532,2728.076,5579.164,2737.154,854.207,1093688.408,Healthy
21263.57,5171.458,9155.631,47442.905,4870.71,6.185,1490.216,53395.126,96015.299,81.129,54872.399,50139.482,213.887,19191.622,100438.055,2643.958,2143.099,28971.251,30341.994,230928.823,3087.022,271937.304,46764.804,6844.023,6844.023,71338.185,7091.943,6.768,665.2,106126.557,16975.645,1697.035,6897.97,363.227,428904.238,1337.878,15315.634,40049.223,1247.809,42573.108,315789.098,4529.525,14058.131,57483.948,12465.204,3214.863,13042.079,26532.727,39941.337,68390.183,5050.125,213.722,398.957,300.112,100877.799,8885.405,90853.514,354716.304,44804.007,50898.693,44310.866,5332.398,26935.862,43570.461,30261.73,24578.747,9115.336,3059.163,23952.889,4505.617,2267.513,8224.015,99324.722,4287.232,4079.545,21119.76,50534.063,7377.453,5813.863,1393.455,1399.673,2590.257,10913.94,3810.354,895.724,1381400.428,Healthy
11759.485,2689.457,5013.282,23412.005,2469.221,0.0,476.398,27412.474,43389.351,5.064,26493.802,24008.787,28.97,9233.274,46567.066,1190.703,828.503,10560.547,14044.736,103302.959,1420.294,126972.174,22175.018,2878.578,2878.578,30243.631,2906.756,0.0,458.366,48896.741,7027.772,708.029,3475.187,11.97,194970.188,501.482,7321.383,17910.053,529.463,20772.933,144427.501,2443.311,6774.763,20770.249,4802.143,1292.553,4443.433,10915.926,16496.849,30515.928,1700.792,88.247,97.097,238.438,44654.16,1713.451,43372.635,147996.679,19666.209,22039.599,18730.732,2181.694,11022.545,19582.607,11392.69,9918.678,3685.363,1319.869,10463.906,1872.063,234.962,4340.53,44257.24,1502.846,1604.668,8748.197,20293.468,2497.107,2188.71,634.887,634.887,1151.205,3062.804,1593.905,147.268,610128.641,Healthy
