class,Nitrogen metabolism,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Methane metabolism,Glycosaminoglycan degradation,Biosynthesis of various other secondary metabolites,Biosynthesis of type II polyketide products,"Valine, leucine and isoleucine biosynthesis",Glycolysis / Gluconeogenesis,alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Phenazine biosynthesis,"Glycine, serine and threonine metabolism",Citrate cycle (TCA cycle),Degradation of aromatic compounds,Phenylalanine metabolism,Thiamine metabolism,Pyruvate metabolism,Biosynthesis of secondary metabolites,Lysine degradation,Biosynthesis of amino acids,Pantothenate and CoA biosynthesis,Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Carbon fixation in photosynthetic organisms,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism,Carbon fixation pathways in prokaryotes,Lipopolysaccharide biosynthesis,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carotenoid biosynthesis,Carbon metabolism,Mannose type O-glycan biosynthesis,Galactose metabolism,Cysteine and methionine metabolism,Phenylpropanoid biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Microbial metabolism in diverse environments,Glycerophospholipid metabolism,beta-Alanine metabolism,Xylene degradation,Vitamin B6 metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Tyrosine metabolism,Tryptophan metabolism,Terpenoid backbone biosynthesis,Sulfur metabolism,Starch and sucrose metabolism,Sphingolipid metabolism,Riboflavin metabolism,Pyrimidine metabolism,Purine metabolism,Propanoate metabolism,Primary bile acid biosynthesis,Porphyrin metabolism,Pentose phosphate pathway,Pentose and glucuronate interconversions,Oxidative phosphorylation,One carbon pool by folate,Nucleotide metabolism,Nicotinate and nicotinamide metabolism,Metabolic pathways,Lipoic acid metabolism,Inositol phosphate metabolism,Histidine metabolism,Glyoxylate and dicarboxylate metabolism,Glycerolipid metabolism,Fructose and mannose metabolism,Folate biosynthesis,Fatty acid metabolism,Fatty acid elongation,Fatty acid degradation,Fatty acid biosynthesis,D-Amino acid metabolism,Biotin metabolism,Biosynthesis of various antibiotics,Biosynthesis of nucleotide sugars,Biosynthesis of cofactors,Benzoate degradation,Ascorbate and aldarate metabolism,Arginine biosynthesis,Arginine and proline metabolism,Amino sugar and nucleotide sugar metabolism,"Alanine, aspartate and glutamate metabolism"
Healthy,3268.49,1061.934,1698.368,10180.073,1135.031,211.018,4.386,11268.882,20847.329,60.771,11752.488,10210.133,27.43,4240.487,19382.25,858.24,560.952,5673.86,5685.466,47295.83,558.279,57918.332,9930.913,1138.871,1138.871,15063.398,1173.741,194.587,20120.795,3944.638,399.157,1251.733,32.2,87630.074,261.222,3715.823,8631.653,339.609,8866.957,64727.979,1124.987,151.99,498.319,688.628,2436.874,530.71,1119.64,4830.908,1310.844,4744.825,38.865,6396.582,9073.316,10480.723,722.137,0.0,11704.865,15116.541,830.151,7126.689,9435.691,10659.401,2534.238,288611.993,1358.475,64.542,1979.24,5244.683,620.901,815.229,22515.284,22109.79,488.961,1613.779,20139.935,84.562,5979.772,706.373,8290.104,75035.353,502.195,2077.666,2577.638,1104.126,5622.022,1510.53
Healthy,16151.177,3693.054,6643.898,35730.664,2945.959,500.108,1.921,39023.355,57315.155,10.128,33842.55,34489.444,9.626,11978.623,57350.08,1938.082,1289.965,15338.402,18782.03,138382.109,1811.281,175260.341,30789.134,3076.298,3076.298,44115.191,3082.208,324.637,66360.297,9930.833,860.233,5152.879,12.924,270272.044,706.844,9834.16,25144.459,838.19,29007.995,207949.273,3114.36,286.164,1091.307,1821.041,6866.942,1435.257,2627.192,13561.553,2717.022,12648.267,113.477,17175.512,28575.502,31390.012,3129.972,0.0,31184.186,44008.107,2433.942,18772.471,27615.07,33612.316,5768.715,846316.263,3020.584,75.288,4818.296,16880.141,1484.531,1787.222,68059.38,56521.313,890.024,3072.111,53043.008,219.919,15347.406,1846.389,22439.505,210915.035,1092.599,5770.895,6901.58,3533.893,15460.923,3486.243
Healthy,13353.268,4009.26,6332.492,35537.556,4810.258,648.62,19.343,41779.141,75809.098,106.407,42888.72,37191.318,130.848,14992.594,71427.651,2396.172,1601.222,18498.742,23033.331,170496.004,2095.114,208729.944,38344.731,5054.782,5054.782,57235.038,5542.811,467.439,77691.104,12347.605,1214.47,4837.526,92.87,323280.712,1003.705,13849.763,31427.905,1016.692,32382.101,239129.337,3594.507,514.3,1355.904,2699.587,9527.923,2232.37,4136.158,16680.664,4796.236,17539.694,123.066,22666.656,33531.333,38347.271,2566.876,1.684,39255.286,54980.454,3414.407,32294.446,32629.51,38231.216,9485.403,1034602.52,4750.61,174.046,7388.989,18779.578,1787.091,3040.529,72991.833,76430.957,1327.8,4892.606,70786.981,327.619,19200.028,2269.718,30001.581,258761.559,1356.725,6836.2,8146.441,3860.477,20014.732,5135.705
Healthy,10158.669,2934.501,4657.966,25219.443,2714.384,900.025,0.961,30072.66,49730.289,116.508,30971.268,27936.711,83.98,10851.779,51890.018,1938.467,1249.995,14445.951,16382.403,125200.988,1911.213,151423.208,25683.265,3115.817,3115.817,37044.006,3216.014,472.647,53661.155,10556.652,882.894,3877.448,292.996,223742.579,616.813,8808.228,21202.25,763.443,25112.2,163095.565,2963.931,329.911,1086.998,2427.892,6850.954,1580.901,2716.086,13544.82,3410.793,10698.402,90.264,14438.786,22707.956,25229.913,1752.272,3.384,27450.095,35638.985,2151.14,24178.704,23353.173,25420.212,6266.219,733062.974,3812.451,376.698,5477.309,14319.967,1397.254,1642.639,51806.141,58163.89,1011.878,3862.301,53884.819,160.886,15784.385,1992.457,21077.395,183417.087,1093.458,3711.116,7618.142,2826.987,13586.567,3714.036
Healthy,8079.759,1984.706,3099.064,13227.665,687.793,677.882,0.0,22023.995,27462.892,2.544,14955.402,19882.093,37.658,5377.909,32163.541,764.655,445.371,6362.877,8940.066,74087.47,975.605,89248.055,15820.5,2157.403,2157.403,17644.391,2162.557,324.631,28075.368,2316.374,622.789,2764.077,2.26,119300.424,327.505,4490.12,11167.4,351.555,15592.524,84680.043,1304.765,89.82,403.756,1218.666,4288.102,1060.187,1585.625,8883.019,1365.783,5639.962,77.516,7519.26,12741.328,14220.522,686.944,0.0,12488.51,18865.627,913.082,8776.804,13010.392,13878.297,3241.338,391860.74,2909.141,103.8,2576.385,6782.072,897.862,1270.46,28627.349,27995.483,78.022,835.649,27646.278,35.262,5928.079,743.068,10575.023,94669.465,407.04,2378.764,4992.714,1459.252,7446.857,2153.882
Healthy,13630.836,3349.031,5702.298,27256.571,2567.316,896.599,15.351,32251.763,59057.147,53.253,32274.539,29230.668,106.889,12354.574,59680.914,2076.352,1331.101,16570.112,18253.899,134258.797,2151.496,159345.446,29355.817,3866.82,3866.82,42521.786,3906.69,485.934,59563.716,9681.319,1004.511,4083.522,165.352,249117.998,806.163,9659.475,22837.069,684.398,24943.079,183574.123,3228.99,503.324,1222.918,2334.526,7859.108,1706.121,3151.817,14445.089,3407.137,11153.517,123.407,17606.39,24180.948,28335.81,1914.728,0.0,31353.329,39975.007,2373.185,25197.912,25575.273,27966.439,7086.952,800465.441,5586.455,286.807,4626.903,13645.875,1571.571,2141.688,57253.089,58578.237,1030.417,5247.847,53180.791,337.767,14308.183,1645.241,22219.097,204219.139,1222.918,4769.48,6177.28,2540.599,14745.2,3618.226
Healthy,10167.711,3322.625,6283.39,29039.032,3783.284,1215.565,2.193,32091.9,65174.258,113.949,34060.407,29071.32,141.44,12552.044,63626.055,2505.549,1833.328,20197.624,20237.151,147677.532,2469.433,168480.049,31006.635,3964.36,3973.432,46808.479,4029.276,429.976,65914.623,13018.43,1158.26,3829.757,292.822,276627.179,860.358,11658.508,25007.295,871.711,27652.56,199845.453,3566.372,645.9,1415.563,3029.28,8243.916,1690.833,3414.373,16839.866,3661.115,13610.01,75.633,20484.606,26945.21,30526.569,2176.674,0.0,36286.495,46892.028,2537.11,28444.782,28111.675,29907.773,8108.262,894513.453,5393.849,382.643,5269.942,15588.14,1762.967,2271.759,63236.117,71822.983,1444.31,7328.529,63959.602,310.623,18356.794,2301.507,25842.857,232659.779,1415.563,4785.911,6694.594,2740.073,17253.466,3972.491
Healthy,13612.673,3966.517,8368.787,33097.32,4322.581,1653.032,179.628,39469.539,81468.321,98.748,41177.919,36407.119,147.058,15146.567,80938.503,2981.163,2101.64,23339.674,25251.486,181204.917,3576.577,204603.083,36658.254,4787.171,4787.171,57214.476,4958.353,714.346,75903.777,16467.257,1143.064,5063.354,441.159,334624.428,914.712,14051.858,30357.132,1111.132,31815.519,238053.162,5349.769,854.207,1808.24,3772.649,10417.555,2110.48,3885.274,20489.964,4575.014,14897.46,279.197,24707.662,31528.045,37752.903,2737.154,3.368,52473.527,56268.848,2687.947,37143.336,33004.769,36791.113,9041.979,1093688.408,6531.792,604.844,5579.164,19770.085,2232.117,2737.386,75003.492,90008.221,1950.032,9061.192,80160.902,600.386,23114.216,2728.076,32987.433,286563.89,1809.532,5080.11,8879.691,3552.303,21786.507,4807.691
Healthy,21263.57,5171.458,9155.631,47442.905,4870.71,1490.216,6.185,53395.126,96015.299,81.129,54872.399,50139.482,213.887,19191.622,100438.055,2643.958,2143.099,28971.251,30341.994,230928.823,3087.022,271937.304,46764.804,6844.023,6844.023,71338.185,7091.943,665.2,106126.557,16975.645,1697.035,6897.97,363.227,428904.238,1337.878,15315.634,40049.223,1247.809,42573.108,315789.098,4529.525,895.724,1393.455,4079.545,14058.131,3214.863,5332.398,24578.747,5813.863,21119.76,213.722,30261.73,44804.007,50534.063,3810.354,6.768,57483.948,68390.183,4287.232,44310.866,43570.461,50898.693,12465.204,1381400.428,8224.015,300.112,10913.94,26532.727,3059.163,4505.617,99324.722,100877.799,2267.513,8885.405,90853.514,398.957,23952.889,2590.257,39941.337,354716.304,1399.673,9115.336,13042.079,5050.125,26935.862,7377.453
Healthy,11759.485,2689.457,5013.282,23412.005,2469.221,476.398,0.0,27412.474,43389.351,5.064,26493.802,24008.787,28.97,9233.274,46567.066,1190.703,828.503,10560.547,14044.736,103302.959,1420.294,126972.174,22175.018,2878.578,2878.578,30243.631,2906.756,458.366,48896.741,7027.772,708.029,3475.187,11.97,194970.188,501.482,7321.383,17910.053,529.463,20772.933,144427.501,2443.311,147.268,634.887,1604.668,6774.763,1292.553,2181.694,9918.678,2188.71,8748.197,88.247,11392.69,19666.209,20293.468,1593.905,0.0,20770.249,30515.928,1502.846,18730.732,19582.607,22039.599,4802.143,610128.641,4340.53,238.438,3062.804,10915.926,1319.869,1872.063,44257.24,44654.16,234.962,1713.451,43372.635,97.097,10463.906,1151.205,16496.849,147996.679,634.887,3685.363,4443.433,1700.792,11022.545,2497.107
