Nitrogen metabolism,Glycosaminoglycan degradation,2-Oxocarboxylic acid metabolism,Biosynthesis of various other secondary metabolites,Degradation of aromatic compounds,Lysine biosynthesis,Taurine and hypotaurine metabolism,Phenylalanine metabolism,"Valine, leucine and isoleucine degradation",alpha-Linolenic acid metabolism,Carbon fixation pathways in prokaryotes,Biosynthesis of secondary metabolites,Methane metabolism,C5-Branched dibasic acid metabolism,Benzoate degradation,Phenazine biosynthesis,Glycolysis / Gluconeogenesis,Carbon metabolism,Butanoate metabolism,"Valine, leucine and isoleucine biosynthesis",class
3268.49,1135.031,10210.133,211.018,858.24,11752.488,1061.934,560.952,1698.368,60.771,20120.795,47295.83,10180.073,1251.733,502.195,27.43,20847.329,87630.074,399.157,11268.882,Healthy
16151.177,2945.959,34489.444,500.108,1938.082,33842.55,3693.054,1289.965,6643.898,10.128,66360.297,138382.109,35730.664,5152.879,1092.599,9.626,57315.155,270272.044,860.233,39023.355,Healthy
13353.268,4810.258,37191.318,648.62,2396.172,42888.72,4009.26,1601.222,6332.492,106.407,77691.104,170496.004,35537.556,4837.526,1356.725,130.848,75809.098,323280.712,1214.47,41779.141,Healthy
10158.669,2714.384,27936.711,900.025,1938.467,30971.268,2934.501,1249.995,4657.966,116.508,53661.155,125200.988,25219.443,3877.448,1093.458,83.98,49730.289,223742.579,882.894,30072.66,Healthy
8079.759,687.793,19882.093,677.882,764.655,14955.402,1984.706,445.371,3099.064,2.544,28075.368,74087.47,13227.665,2764.077,407.04,37.658,27462.892,119300.424,622.789,22023.995,Healthy
13630.836,2567.316,29230.668,896.599,2076.352,32274.539,3349.031,1331.101,5702.298,53.253,59563.716,134258.797,27256.571,4083.522,1222.918,106.889,59057.147,249117.998,1004.511,32251.763,Healthy
10167.711,3783.284,29071.32,1215.565,2505.549,34060.407,3322.625,1833.328,6283.39,113.949,65914.623,147677.532,29039.032,3829.757,1415.563,141.44,65174.258,276627.179,1158.26,32091.9,Healthy
13612.673,4322.581,36407.119,1653.032,2981.163,41177.919,3966.517,2101.64,8368.787,98.748,75903.777,181204.917,33097.32,5063.354,1809.532,147.058,81468.321,334624.428,1143.064,39469.539,Healthy
21263.57,4870.71,50139.482,1490.216,2643.958,54872.399,5171.458,2143.099,9155.631,81.129,106126.557,230928.823,47442.905,6897.97,1399.673,213.887,96015.299,428904.238,1697.035,53395.126,Healthy
11759.485,2469.221,24008.787,476.398,1190.703,26493.802,2689.457,828.503,5013.282,5.064,48896.741,103302.959,23412.005,3475.187,634.887,28.97,43389.351,194970.188,708.029,27412.474,Healthy
13728.991,4029.199,37507.377,1336.454,2161.363,46360.625,3902.651,1533.431,7253.984,200.013,94389.963,195774.539,34657.528,4501.804,1317.845,83.229,76836.606,360461.327,1289.301,40476.928,Perio
6458.347,1567.017,23225.346,444.888,1710.736,24116.016,2670.814,1131.983,3718.545,37.974,40106.035,97325.201,19679.67,2889.825,984.773,44.939,41810.847,175385.682,926.067,25206.875,Perio
