Cysteine and methionine metabolism,Metabolic pathways,Biosynthesis of amino acids,Carbon fixation pathways in prokaryotes,Microbial metabolism in diverse environments,Carbon metabolism,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Carbon fixation in photosynthetic organisms,Pentose phosphate pathway,Galactose metabolism,Methane metabolism,Biosynthesis of secondary metabolites,"Alanine, aspartate and glutamate metabolism",Butanoate metabolism,Purine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Glycerophospholipid metabolism,Pyrimidine metabolism,Nucleotide metabolism,class
8631.653,288611.993,57918.332,20120.795,64727.979,87630.074,20847.329,19382.25,15063.398,15116.541,3715.823,10180.073,47295.83,1510.53,399.157,10480.723,8866.957,1124.987,9073.316,10659.401,Healthy
25144.459,846316.263,175260.341,66360.297,207949.273,270272.044,57315.155,57350.08,44115.191,44008.107,9834.16,35730.664,138382.109,3486.243,860.233,31390.012,29007.995,3114.36,28575.502,33612.316,Healthy
31427.905,1034602.52,208729.944,77691.104,239129.337,323280.712,75809.098,71427.651,57235.038,54980.454,13849.763,35537.556,170496.004,5135.705,1214.47,38347.271,32382.101,3594.507,33531.333,38231.216,Healthy
21202.25,733062.974,151423.208,53661.155,163095.565,223742.579,49730.289,51890.018,37044.006,35638.985,8808.228,25219.443,125200.988,3714.036,882.894,25229.913,25112.2,2963.931,22707.956,25420.212,Healthy
11167.4,391860.74,89248.055,28075.368,84680.043,119300.424,27462.892,32163.541,17644.391,18865.627,4490.12,13227.665,74087.47,2153.882,622.789,14220.522,15592.524,1304.765,12741.328,13878.297,Healthy
22837.069,800465.441,159345.446,59563.716,183574.123,249117.998,59057.147,59680.914,42521.786,39975.007,9659.475,27256.571,134258.797,3618.226,1004.511,28335.81,24943.079,3228.99,24180.948,27966.439,Healthy
25007.295,894513.453,168480.049,65914.623,199845.453,276627.179,65174.258,63626.055,46808.479,46892.028,11658.508,29039.032,147677.532,3972.491,1158.26,30526.569,27652.56,3566.372,26945.21,29907.773,Healthy
30357.132,1093688.408,204603.083,75903.777,238053.162,334624.428,81468.321,80938.503,57214.476,56268.848,14051.858,33097.32,181204.917,4807.691,1143.064,37752.903,31815.519,5349.769,31528.045,36791.113,Healthy
40049.223,1381400.428,271937.304,106126.557,315789.098,428904.238,96015.299,100438.055,71338.185,68390.183,15315.634,47442.905,230928.823,7377.453,1697.035,50534.063,42573.108,4529.525,44804.007,50898.693,Healthy
17910.053,610128.641,126972.174,48896.741,144427.501,194970.188,43389.351,46567.066,30243.631,30515.928,7321.383,23412.005,103302.959,2497.107,708.029,20293.468,20772.933,2443.311,19666.209,22039.599,Healthy
33011.15,1173989.51,218541.391,94389.963,258657.607,360461.327,76836.606,88103.335,55891.092,56886.675,13305.767,34657.528,195774.539,6165.091,1289.301,39097.342,36076.679,5549.561,35816.36,39664.529,Perio
18066.824,584592.88,125859.1,40106.035,126956.684,175385.682,41810.847,38880.461,30491.345,29475.027,7064.685,19679.67,97325.201,3479.14,926.067,21590.078,21037.697,2022.783,20086.98,21625.376,Perio
18832.577,688754.163,118246.157,49760.727,151670.596,210409.085,51248.301,49236.946,35118.913,35710.524,7961.945,21096.623,108761.425,2717.382,970.49,24002.476,18266.811,3611.438,20965.542,24162.055,Perio
7242.706,278471.006,50792.898,20423.854,60639.292,83736.564,18691.658,19391.322,14413.775,14146.344,3222.055,8173.899,44111.094,1530.123,369.956,9680.523,7624.741,1232.114,8795.645,9633.142,Perio
30890.496,951099.769,196532.823,70294.353,209599.249,286684.876,64830.805,66805.411,47878.123,45716.197,10616.612,32517.932,163211.34,4436.531,877.664,33968.299,30195.555,3761.966,29336.399,33876.95,Perio
14372.391,489128.285,97957.815,35677.829,110795.424,152529.753,36054.871,36329.619,25240.876,25548.632,5753.219,17000.294,82276.923,2193.993,739.162,17749.188,16348.953,1840.899,15777.484,17805.201,Perio
18369.476,592927.587,125362.722,42186.84,130522.372,179390.372,38134.885,43628.652,29030.402,29930.808,6821.233,19447.31,104234.922,3602.2,824.237,21522.33,21212.377,2037.062,19564.514,21263.841,Perio
16277.338,516821.317,108140.406,38437.744,118352.345,161122.609,37354.078,37902.128,26729.35,27058.782,6066.538,18085.848,89327.122,2417.902,645.841,18269.925,17947.899,2221.339,17443.799,19467.296,Perio
8567.393,285230.831,55698.147,21818.826,65093.685,88749.261,19154.16,19683.363,14988.966,14227.857,3370.087,10607.051,45403.09,1613.296,322.636,10126.809,8282.905,1089.92,9199.074,10036.168,Perio
10923.026,385070.846,76819.366,29898.172,89833.905,120363.627,24917.537,28914.208,18710.658,19142.024,4495.924,14448.323,65218.212,2418.572,719.673,13870.904,13120.499,1238.292,12921.641,13997.162,Perio
28807.397,922698.437,182387.185,72584.927,209762.607,283650.843,64404.516,63081.594,47624.536,44640.872,11264.089,33329.399,150646.117,4230.755,824.065,32675.779,28344.383,3764.836,32366.049,36432.757,Caries
22137.71,766122.991,153425.588,54499.66,171072.358,234540.02,54928.108,54946.65,39399.527,40551.311,9371.65,24678.881,130680.812,3794.695,960.862,26023.393,25326.378,3087.55,23237.837,26002.036,Caries
4433.119,149666.775,33749.191,8995.806,31563.58,44805.86,11369.551,11427.612,7313.229,8345.439,1952.219,4331.415,27423.894,1029.192,293.322,5648.886,5722.671,400.623,5073.852,5497.491,Caries
12392.91,415214.471,86698.829,30262.548,92517.713,125257.807,27241.363,28727.439,20487.561,20814.01,4444.651,14642.54,69918.304,2378.566,570.869,15380.884,14155.359,1439.985,14149.386,15611.254,Caries
13134.832,463011.615,90891.375,33962.901,102370.581,140007.661,31820.714,33626.443,22765.497,25137.397,5615.723,13177.665,79987.817,1899.581,747.083,15945.214,16242.149,1990.302,14789.652,16477.088,Caries
10345.173,365072.767,77278.319,24527.141,78276.082,110123.577,26574.828,28585.136,18155.472,18294.829,4352.163,10707.388,66841.696,1987.128,419.146,12273.495,11901.766,1586.98,10058.095,11351.121,Caries
16368.66,527347.306,115885.203,36953.208,109455.52,152439.142,32374.906,35947.221,24304.474,23345.952,6163.615,17386.153,92619.435,3569.686,549.239,18638.039,18042.672,1957.462,19593.777,21279.043,Caries
20808.805,652270.34,144077.13,45741.371,142764.054,198954.984,45172.223,46845.372,33498.824,32342.884,7719.487,22903.76,111322.456,4257.896,750.985,24739.626,22173.74,2207.393,22787.729,25455.324,Caries
10852.859,356285.576,71987.211,26238.618,82402.607,110179.08,24572.404,24940.263,19035.785,18344.028,4235.695,12730.162,58666.964,1955.992,490.039,12706.535,11307.221,1234.374,11437.11,12860.289,Caries
25512.146,805058.103,176093.249,56012.788,178581.875,244499.962,55837.35,55933.245,41842.01,41426.039,9754.982,28891.643,136731.447,4552.687,952.175,28855.509,27022.617,2586.607,28691.787,31425.622,Caries
