2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Arginine and proline metabolism,Arginine biosynthesis,Ascorbate and aldarate metabolism,Benzoate degradation,Biosynthesis of amino acids,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of type II polyketide products,Biosynthesis of various antibiotics,Biosynthesis of various other secondary metabolites,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Carbon metabolism,class
10210.133,1510.53,5622.022,1104.126,2577.638,2077.666,502.195,57918.332,75035.353,8290.104,47295.83,4.386,706.373,211.018,5979.772,399.157,1251.733,15063.398,20120.795,87630.074,Healthy
34489.444,3486.243,15460.923,3533.893,6901.58,5770.895,1092.599,175260.341,210915.035,22439.505,138382.109,1.921,1846.389,500.108,15347.406,860.233,5152.879,44115.191,66360.297,270272.044,Healthy
37191.318,5135.705,20014.732,3860.477,8146.441,6836.2,1356.725,208729.944,258761.559,30001.581,170496.004,19.343,2269.718,648.62,19200.028,1214.47,4837.526,57235.038,77691.104,323280.712,Healthy
27936.711,3714.036,13586.567,2826.987,7618.142,3711.116,1093.458,151423.208,183417.087,21077.395,125200.988,0.961,1992.457,900.025,15784.385,882.894,3877.448,37044.006,53661.155,223742.579,Healthy
19882.093,2153.882,7446.857,1459.252,4992.714,2378.764,407.04,89248.055,94669.465,10575.023,74087.47,0.0,743.068,677.882,5928.079,622.789,2764.077,17644.391,28075.368,119300.424,Healthy
29230.668,3618.226,14745.2,2540.599,6177.28,4769.48,1222.918,159345.446,204219.139,22219.097,134258.797,15.351,1645.241,896.599,14308.183,1004.511,4083.522,42521.786,59563.716,249117.998,Healthy
29071.32,3972.491,17253.466,2740.073,6694.594,4785.911,1415.563,168480.049,232659.779,25842.857,147677.532,2.193,2301.507,1215.565,18356.794,1158.26,3829.757,46808.479,65914.623,276627.179,Healthy
36407.119,4807.691,21786.507,3552.303,8879.691,5080.11,1809.532,204603.083,286563.89,32987.433,181204.917,179.628,2728.076,1653.032,23114.216,1143.064,5063.354,57214.476,75903.777,334624.428,Healthy
50139.482,7377.453,26935.862,5050.125,13042.079,9115.336,1399.673,271937.304,354716.304,39941.337,230928.823,6.185,2590.257,1490.216,23952.889,1697.035,6897.97,71338.185,106126.557,428904.238,Healthy
24008.787,2497.107,11022.545,1700.792,4443.433,3685.363,634.887,126972.174,147996.679,16496.849,103302.959,0.0,1151.205,476.398,10463.906,708.029,3475.187,30243.631,48896.741,194970.188,Healthy
37507.377,6165.091,22869.944,3910.785,9138.261,6610.903,1317.845,218541.391,312783.749,35417.356,195774.539,175.859,2338.807,1336.454,26246.518,1289.301,4501.804,55891.092,94389.963,360461.327,Perio
23225.346,3479.14,12908.129,2527.157,6732.45,3128.678,984.773,125859.1,146300.159,17604.515,97325.201,4.386,1453.109,444.888,10232.211,926.067,2889.825,30491.345,40106.035,175385.682,Perio
20689.798,2717.382,14302.889,2529.714,4549.737,3207.208,1304.501,118246.157,186477.854,21551.032,108761.425,80.868,1537.254,874.038,14019.306,970.49,2845.472,35118.913,49760.727,210409.085,Perio
8655.763,1530.123,5832.631,1176.493,2896.353,1513.493,305.852,50792.898,74299.839,8494.381,44111.094,4.189,657.016,353.515,6270.742,369.956,1163.976,14413.775,20423.854,83736.564,Perio
38893.313,4436.531,18867.907,3341.473,9101.704,5613.571,1113.431,196532.823,245082.636,28864.415,163211.34,15.351,2038.045,835.589,18347.967,877.664,5552.033,47878.123,70294.353,286684.876,Perio
17963.145,2193.993,9337.881,1638.356,4362.451,2823.025,672.238,97957.815,125945.723,13809.706,82276.923,19.737,1019.674,452.409,8366.284,739.162,2348.548,25240.876,35677.829,152529.753,Perio
