alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Glycosaminoglycan degradation,Butanoate metabolism,Nitrogen metabolism,"Valine, leucine and isoleucine biosynthesis",Lipopolysaccharide biosynthesis,Folate biosynthesis,Porphyrin metabolism,Biotin metabolism,Thiamine metabolism,Phenylalanine metabolism,Carbon fixation pathways in prokaryotes,Taurine and hypotaurine metabolism,C5-Branched dibasic acid metabolism,"Valine, leucine and isoleucine degradation",Xylene degradation,Carbon metabolism,Glutathione metabolism,O-Antigen nucleotide sugar biosynthesis,Benzoate degradation,One carbon pool by folate,Biosynthesis of secondary metabolites,Degradation of aromatic compounds,Pentose phosphate pathway,Galactose metabolism,Amino sugar and nucleotide sugar metabolism,Purine metabolism,Riboflavin metabolism,Tryptophan metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Fructose and mannose metabolism,Pantothenate and CoA biosynthesis,beta-Alanine metabolism,Phenazine biosynthesis,Biosynthesis of various other secondary metabolites,Biosynthesis of various antibiotics,Starch and sucrose metabolism,Lysine degradation,Lipoic acid metabolism,Nicotinate and nicotinamide metabolism,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Carbon fixation in photosynthetic organisms,Methane metabolism,Primary bile acid biosynthesis,Oxidative phosphorylation,Biosynthesis of amino acids,Tyrosine metabolism,D-Amino acid metabolism,Glyoxylate and dicarboxylate metabolism,Ascorbate and aldarate metabolism,Pyruvate metabolism,Glycolysis / Gluconeogenesis,Fatty acid biosynthesis,Sphingolipid metabolism,Biosynthesis of nucleotide sugars,Carotenoid biosynthesis,Phenylpropanoid biosynthesis,Fatty acid elongation,Metabolic pathways,Citrate cycle (TCA cycle),Terpenoid backbone biosynthesis,Pyrimidine metabolism,Sulfur metabolism,Glycerophospholipid metabolism,Mannose type O-glycan biosynthesis,Biosynthesis of cofactors,Microbial metabolism in diverse environments,Ubiquinone and other terpenoid-quinone biosynthesis,Arginine biosynthesis,Fatty acid degradation,Propanoate metabolism,Inositol phosphate metabolism,"Alanine, aspartate and glutamate metabolism",Histidine metabolism,Pentose and glucuronate interconversions,Fatty acid metabolism,Nucleotide metabolism,Glycerolipid metabolism,Arginine and proline metabolism,Biosynthesis of type II polyketide products,Vitamin B6 metabolism,class
60.771,11752.488,10210.133,1135.031,399.157,3268.49,11268.882,3944.638,22515.284,11704.865,5979.772,5673.86,560.952,20120.795,1061.934,1251.733,1698.368,498.319,87630.074,194.587,1173.741,502.195,9435.691,47295.83,858.24,15116.541,3715.823,5622.022,10480.723,6396.582,1119.64,8866.957,1138.871,1138.871,815.229,9930.913,151.99,27.43,211.018,706.373,4744.825,558.279,1358.475,2534.238,8631.653,4240.487,15063.398,10180.073,0.0,7126.689,57918.332,530.71,84.562,5244.683,2077.666,5685.466,20847.329,20139.935,38.865,8290.104,32.2,339.609,488.961,288611.993,19382.25,4830.908,9073.316,1310.844,1124.987,261.222,75035.353,64727.979,2436.874,2577.638,1613.779,722.137,64.542,1510.53,1979.24,830.151,22109.79,10659.401,620.901,1104.126,4.386,688.628,Healthy
10.128,33842.55,34489.444,2945.959,860.233,16151.177,39023.355,9930.833,68059.38,31184.186,15347.406,15338.402,1289.965,66360.297,3693.054,5152.879,6643.898,1091.307,270272.044,324.637,3082.208,1092.599,27615.07,138382.109,1938.082,44008.107,9834.16,15460.923,31390.012,17175.512,2627.192,29007.995,3076.298,3076.298,1787.222,30789.134,286.164,9.626,500.108,1846.389,12648.267,1811.281,3020.584,5768.715,25144.459,11978.623,44115.191,35730.664,0.0,18772.471,175260.341,1435.257,219.919,16880.141,5770.895,18782.03,57315.155,53043.008,113.477,22439.505,12.924,838.19,890.024,846316.263,57350.08,13561.553,28575.502,2717.022,3114.36,706.844,210915.035,207949.273,6866.942,6901.58,3072.111,3129.972,75.288,3486.243,4818.296,2433.942,56521.313,33612.316,1484.531,3533.893,1.921,1821.041,Healthy
106.407,42888.72,37191.318,4810.258,1214.47,13353.268,41779.141,12347.605,72991.833,39255.286,19200.028,18498.742,1601.222,77691.104,4009.26,4837.526,6332.492,1355.904,323280.712,467.439,5542.811,1356.725,32629.51,170496.004,2396.172,54980.454,13849.763,20014.732,38347.271,22666.656,4136.158,32382.101,5054.782,5054.782,3040.529,38344.731,514.3,130.848,648.62,2269.718,17539.694,2095.114,4750.61,9485.403,31427.905,14992.594,57235.038,35537.556,1.684,32294.446,208729.944,2232.37,327.619,18779.578,6836.2,23033.331,75809.098,70786.981,123.066,30001.581,92.87,1016.692,1327.8,1034602.52,71427.651,16680.664,33531.333,4796.236,3594.507,1003.705,258761.559,239129.337,9527.923,8146.441,4892.606,2566.876,174.046,5135.705,7388.989,3414.407,76430.957,38231.216,1787.091,3860.477,19.343,2699.587,Healthy
116.508,30971.268,27936.711,2714.384,882.894,10158.669,30072.66,10556.652,51806.141,27450.095,15784.385,14445.951,1249.995,53661.155,2934.501,3877.448,4657.966,1086.998,223742.579,472.647,3216.014,1093.458,23353.173,125200.988,1938.467,35638.985,8808.228,13586.567,25229.913,14438.786,2716.086,25112.2,3115.817,3115.817,1642.639,25683.265,329.911,83.98,900.025,1992.457,10698.402,1911.213,3812.451,6266.219,21202.25,10851.779,37044.006,25219.443,3.384,24178.704,151423.208,1580.901,160.886,14319.967,3711.116,16382.403,49730.289,53884.819,90.264,21077.395,292.996,763.443,1011.878,733062.974,51890.018,13544.82,22707.956,3410.793,2963.931,616.813,183417.087,163095.565,6850.954,7618.142,3862.301,1752.272,376.698,3714.036,5477.309,2151.14,58163.89,25420.212,1397.254,2826.987,0.961,2427.892,Healthy
2.544,14955.402,19882.093,687.793,622.789,8079.759,22023.995,2316.374,28627.349,12488.51,5928.079,6362.877,445.371,28075.368,1984.706,2764.077,3099.064,403.756,119300.424,324.631,2162.557,407.04,13010.392,74087.47,764.655,18865.627,4490.12,7446.857,14220.522,7519.26,1585.625,15592.524,2157.403,2157.403,1270.46,15820.5,89.82,37.658,677.882,743.068,5639.962,975.605,2909.141,3241.338,11167.4,5377.909,17644.391,13227.665,0.0,8776.804,89248.055,1060.187,35.262,6782.072,2378.764,8940.066,27462.892,27646.278,77.516,10575.023,2.26,351.555,78.022,391860.74,32163.541,8883.019,12741.328,1365.783,1304.765,327.505,94669.465,84680.043,4288.102,4992.714,835.649,686.944,103.8,2153.882,2576.385,913.082,27995.483,13878.297,897.862,1459.252,0.0,1218.666,Healthy
53.253,32274.539,29230.668,2567.316,1004.511,13630.836,32251.763,9681.319,57253.089,31353.329,14308.183,16570.112,1331.101,59563.716,3349.031,4083.522,5702.298,1222.918,249117.998,485.934,3906.69,1222.918,25575.273,134258.797,2076.352,39975.007,9659.475,14745.2,28335.81,17606.39,3151.817,24943.079,3866.82,3866.82,2141.688,29355.817,503.324,106.889,896.599,1645.241,11153.517,2151.496,5586.455,7086.952,22837.069,12354.574,42521.786,27256.571,0.0,25197.912,159345.446,1706.121,337.767,13645.875,4769.48,18253.899,59057.147,53180.791,123.407,22219.097,165.352,684.398,1030.417,800465.441,59680.914,14445.089,24180.948,3407.137,3228.99,806.163,204219.139,183574.123,7859.108,6177.28,5247.847,1914.728,286.807,3618.226,4626.903,2373.185,58578.237,27966.439,1571.571,2540.599,15.351,2334.526,Healthy
113.949,34060.407,29071.32,3783.284,1158.26,10167.711,32091.9,13018.43,63236.117,36286.495,18356.794,20197.624,1833.328,65914.623,3322.625,3829.757,6283.39,1415.563,276627.179,429.976,4029.276,1415.563,28111.675,147677.532,2505.549,46892.028,11658.508,17253.466,30526.569,20484.606,3414.373,27652.56,3964.36,3973.432,2271.759,31006.635,645.9,141.44,1215.565,2301.507,13610.01,2469.433,5393.849,8108.262,25007.295,12552.044,46808.479,29039.032,0.0,28444.782,168480.049,1690.833,310.623,15588.14,4785.911,20237.151,65174.258,63959.602,75.633,25842.857,292.822,871.711,1444.31,894513.453,63626.055,16839.866,26945.21,3661.115,3566.372,860.358,232659.779,199845.453,8243.916,6694.594,7328.529,2176.674,382.643,3972.491,5269.942,2537.11,71822.983,29907.773,1762.967,2740.073,2.193,3029.28,Healthy
98.748,41177.919,36407.119,4322.581,1143.064,13612.673,39469.539,16467.257,75003.492,52473.527,23114.216,23339.674,2101.64,75903.777,3966.517,5063.354,8368.787,1808.24,334624.428,714.346,4958.353,1809.532,33004.769,181204.917,2981.163,56268.848,14051.858,21786.507,37752.903,24707.662,3885.274,31815.519,4787.171,4787.171,2737.386,36658.254,854.207,147.058,1653.032,2728.076,14897.46,3576.577,6531.792,9041.979,30357.132,15146.567,57214.476,33097.32,3.368,37143.336,204603.083,2110.48,600.386,19770.085,5080.11,25251.486,81468.321,80160.902,279.197,32987.433,441.159,1111.132,1950.032,1093688.408,80938.503,20489.964,31528.045,4575.014,5349.769,914.712,286563.89,238053.162,10417.555,8879.691,9061.192,2737.154,604.844,4807.691,5579.164,2687.947,90008.221,36791.113,2232.117,3552.303,179.628,3772.649,Healthy
81.129,54872.399,50139.482,4870.71,1697.035,21263.57,53395.126,16975.645,99324.722,57483.948,23952.889,28971.251,2143.099,106126.557,5171.458,6897.97,9155.631,1393.455,428904.238,665.2,7091.943,1399.673,43570.461,230928.823,2643.958,68390.183,15315.634,26935.862,50534.063,30261.73,5332.398,42573.108,6844.023,6844.023,4505.617,46764.804,895.724,213.887,1490.216,2590.257,21119.76,3087.022,8224.015,12465.204,40049.223,19191.622,71338.185,47442.905,6.768,44310.866,271937.304,3214.863,398.957,26532.727,9115.336,30341.994,96015.299,90853.514,213.722,39941.337,363.227,1247.809,2267.513,1381400.428,100438.055,24578.747,44804.007,5813.863,4529.525,1337.878,354716.304,315789.098,14058.131,13042.079,8885.405,3810.354,300.112,7377.453,10913.94,4287.232,100877.799,50898.693,3059.163,5050.125,6.185,4079.545,Healthy
5.064,26493.802,24008.787,2469.221,708.029,11759.485,27412.474,7027.772,44257.24,20770.249,10463.906,10560.547,828.503,48896.741,2689.457,3475.187,5013.282,634.887,194970.188,458.366,2906.756,634.887,19582.607,103302.959,1190.703,30515.928,7321.383,11022.545,20293.468,11392.69,2181.694,20772.933,2878.578,2878.578,1872.063,22175.018,147.268,28.97,476.398,1151.205,8748.197,1420.294,4340.53,4802.143,17910.053,9233.274,30243.631,23412.005,0.0,18730.732,126972.174,1292.553,97.097,10915.926,3685.363,14044.736,43389.351,43372.635,88.247,16496.849,11.97,529.463,234.962,610128.641,46567.066,9918.678,19666.209,2188.71,2443.311,501.482,147996.679,144427.501,6774.763,4443.433,1713.451,1593.905,238.438,2497.107,3062.804,1502.846,44654.16,22039.599,1319.869,1700.792,0.0,1604.668,Healthy
