Nitrogen metabolism,Glycosaminoglycan degradation,2-Oxocarboxylic acid metabolism,Biosynthesis of various other secondary metabolites,Degradation of aromatic compounds,Lysine biosynthesis,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Phenylalanine metabolism,alpha-Linolenic acid metabolism,Carbon fixation pathways in prokaryotes,Biosynthesis of secondary metabolites,Methane metabolism,C5-Branched dibasic acid metabolism,Phenazine biosynthesis,Glycolysis / Gluconeogenesis,Carbon metabolism,Butanoate metabolism,"Valine, leucine and isoleucine biosynthesis","Glycine, serine and threonine metabolism",Biosynthesis of amino acids,Carbon fixation in photosynthetic organisms,Galactose metabolism,Thiamine metabolism,Citrate cycle (TCA cycle),Lipopolysaccharide biosynthesis,Lysine degradation,Pantothenate and CoA biosynthesis,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism,Pyruvate metabolism,Polyketide sugar unit biosynthesis,Porphyrin metabolism,Biosynthesis of type II polyketide products,Benzoate degradation,Cysteine and methionine metabolism,Streptomycin biosynthesis,Mannose type O-glycan biosynthesis,Biotin metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Pentose phosphate pathway,Microbial metabolism in diverse environments,Fatty acid degradation,Glycerophospholipid metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of various antibiotics,Biosynthesis of nucleotide sugars,Carotenoid biosynthesis,Folate biosynthesis,Fatty acid biosynthesis,Glyoxylate and dicarboxylate metabolism,Fatty acid elongation,One carbon pool by folate,Biosynthesis of cofactors,Nicotinate and nicotinamide metabolism,Arginine biosynthesis,Primary bile acid biosynthesis,D-Amino acid metabolism,Arginine and proline metabolism,Ascorbate and aldarate metabolism,Fatty acid metabolism,Xylene degradation,Phenylpropanoid biosynthesis,Oxidative phosphorylation,Fructose and mannose metabolism,Lipoic acid metabolism,Riboflavin metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Terpenoid backbone biosynthesis,Sphingolipid metabolism,Tryptophan metabolism,Tyrosine metabolism,Purine metabolism,Inositol phosphate metabolism,Nucleotide metabolism,"Alanine, aspartate and glutamate metabolism",Metabolic pathways,Glycerolipid metabolism,beta-Alanine metabolism,Pyrimidine metabolism,Starch and sucrose metabolism,Propanoate metabolism,Pentose and glucuronate interconversions,Sulfur metabolism,Histidine metabolism,Vitamin B6 metabolism,class
3268.49,1135.031,10210.133,211.018,858.24,11752.488,1061.934,1698.368,560.952,60.771,20120.795,47295.83,10180.073,1251.733,27.43,20847.329,87630.074,399.157,11268.882,4240.487,57918.332,15063.398,3715.823,5673.86,19382.25,3944.638,558.279,9930.913,1173.741,194.587,5685.466,1138.871,11704.865,4.386,502.195,8631.653,1138.871,261.222,5979.772,8866.957,15116.541,64727.979,1613.779,1124.987,5622.022,706.373,8290.104,32.2,22515.284,20139.935,5244.683,488.961,9435.691,75035.353,2534.238,2577.638,0.0,84.562,1104.126,2077.666,22109.79,498.319,339.609,7126.689,815.229,1358.475,6396.582,2436.874,4830.908,38.865,1119.64,530.71,10480.723,64.542,10659.401,1510.53,288611.993,620.901,151.99,9073.316,4744.825,722.137,830.151,1310.844,1979.24,688.628,Healthy
16151.177,2945.959,34489.444,500.108,1938.082,33842.55,3693.054,6643.898,1289.965,10.128,66360.297,138382.109,35730.664,5152.879,9.626,57315.155,270272.044,860.233,39023.355,11978.623,175260.341,44115.191,9834.16,15338.402,57350.08,9930.833,1811.281,30789.134,3082.208,324.637,18782.03,3076.298,31184.186,1.921,1092.599,25144.459,3076.298,706.844,15347.406,29007.995,44008.107,207949.273,3072.111,3114.36,15460.923,1846.389,22439.505,12.924,68059.38,53043.008,16880.141,890.024,27615.07,210915.035,5768.715,6901.58,0.0,219.919,3533.893,5770.895,56521.313,1091.307,838.19,18772.471,1787.222,3020.584,17175.512,6866.942,13561.553,113.477,2627.192,1435.257,31390.012,75.288,33612.316,3486.243,846316.263,1484.531,286.164,28575.502,12648.267,3129.972,2433.942,2717.022,4818.296,1821.041,Healthy
13353.268,4810.258,37191.318,648.62,2396.172,42888.72,4009.26,6332.492,1601.222,106.407,77691.104,170496.004,35537.556,4837.526,130.848,75809.098,323280.712,1214.47,41779.141,14992.594,208729.944,57235.038,13849.763,18498.742,71427.651,12347.605,2095.114,38344.731,5542.811,467.439,23033.331,5054.782,39255.286,19.343,1356.725,31427.905,5054.782,1003.705,19200.028,32382.101,54980.454,239129.337,4892.606,3594.507,20014.732,2269.718,30001.581,92.87,72991.833,70786.981,18779.578,1327.8,32629.51,258761.559,9485.403,8146.441,1.684,327.619,3860.477,6836.2,76430.957,1355.904,1016.692,32294.446,3040.529,4750.61,22666.656,9527.923,16680.664,123.066,4136.158,2232.37,38347.271,174.046,38231.216,5135.705,1034602.52,1787.091,514.3,33531.333,17539.694,2566.876,3414.407,4796.236,7388.989,2699.587,Healthy
10158.669,2714.384,27936.711,900.025,1938.467,30971.268,2934.501,4657.966,1249.995,116.508,53661.155,125200.988,25219.443,3877.448,83.98,49730.289,223742.579,882.894,30072.66,10851.779,151423.208,37044.006,8808.228,14445.951,51890.018,10556.652,1911.213,25683.265,3216.014,472.647,16382.403,3115.817,27450.095,0.961,1093.458,21202.25,3115.817,616.813,15784.385,25112.2,35638.985,163095.565,3862.301,2963.931,13586.567,1992.457,21077.395,292.996,51806.141,53884.819,14319.967,1011.878,23353.173,183417.087,6266.219,7618.142,3.384,160.886,2826.987,3711.116,58163.89,1086.998,763.443,24178.704,1642.639,3812.451,14438.786,6850.954,13544.82,90.264,2716.086,1580.901,25229.913,376.698,25420.212,3714.036,733062.974,1397.254,329.911,22707.956,10698.402,1752.272,2151.14,3410.793,5477.309,2427.892,Healthy
8079.759,687.793,19882.093,677.882,764.655,14955.402,1984.706,3099.064,445.371,2.544,28075.368,74087.47,13227.665,2764.077,37.658,27462.892,119300.424,622.789,22023.995,5377.909,89248.055,17644.391,4490.12,6362.877,32163.541,2316.374,975.605,15820.5,2162.557,324.631,8940.066,2157.403,12488.51,0.0,407.04,11167.4,2157.403,327.505,5928.079,15592.524,18865.627,84680.043,835.649,1304.765,7446.857,743.068,10575.023,2.26,28627.349,27646.278,6782.072,78.022,13010.392,94669.465,3241.338,4992.714,0.0,35.262,1459.252,2378.764,27995.483,403.756,351.555,8776.804,1270.46,2909.141,7519.26,4288.102,8883.019,77.516,1585.625,1060.187,14220.522,103.8,13878.297,2153.882,391860.74,897.862,89.82,12741.328,5639.962,686.944,913.082,1365.783,2576.385,1218.666,Healthy
13630.836,2567.316,29230.668,896.599,2076.352,32274.539,3349.031,5702.298,1331.101,53.253,59563.716,134258.797,27256.571,4083.522,106.889,59057.147,249117.998,1004.511,32251.763,12354.574,159345.446,42521.786,9659.475,16570.112,59680.914,9681.319,2151.496,29355.817,3906.69,485.934,18253.899,3866.82,31353.329,15.351,1222.918,22837.069,3866.82,806.163,14308.183,24943.079,39975.007,183574.123,5247.847,3228.99,14745.2,1645.241,22219.097,165.352,57253.089,53180.791,13645.875,1030.417,25575.273,204219.139,7086.952,6177.28,0.0,337.767,2540.599,4769.48,58578.237,1222.918,684.398,25197.912,2141.688,5586.455,17606.39,7859.108,14445.089,123.407,3151.817,1706.121,28335.81,286.807,27966.439,3618.226,800465.441,1571.571,503.324,24180.948,11153.517,1914.728,2373.185,3407.137,4626.903,2334.526,Healthy
10167.711,3783.284,29071.32,1215.565,2505.549,34060.407,3322.625,6283.39,1833.328,113.949,65914.623,147677.532,29039.032,3829.757,141.44,65174.258,276627.179,1158.26,32091.9,12552.044,168480.049,46808.479,11658.508,20197.624,63626.055,13018.43,2469.433,31006.635,4029.276,429.976,20237.151,3973.432,36286.495,2.193,1415.563,25007.295,3964.36,860.358,18356.794,27652.56,46892.028,199845.453,7328.529,3566.372,17253.466,2301.507,25842.857,292.822,63236.117,63959.602,15588.14,1444.31,28111.675,232659.779,8108.262,6694.594,0.0,310.623,2740.073,4785.911,71822.983,1415.563,871.711,28444.782,2271.759,5393.849,20484.606,8243.916,16839.866,75.633,3414.373,1690.833,30526.569,382.643,29907.773,3972.491,894513.453,1762.967,645.9,26945.21,13610.01,2176.674,2537.11,3661.115,5269.942,3029.28,Healthy
13612.673,4322.581,36407.119,1653.032,2981.163,41177.919,3966.517,8368.787,2101.64,98.748,75903.777,181204.917,33097.32,5063.354,147.058,81468.321,334624.428,1143.064,39469.539,15146.567,204603.083,57214.476,14051.858,23339.674,80938.503,16467.257,3576.577,36658.254,4958.353,714.346,25251.486,4787.171,52473.527,179.628,1809.532,30357.132,4787.171,914.712,23114.216,31815.519,56268.848,238053.162,9061.192,5349.769,21786.507,2728.076,32987.433,441.159,75003.492,80160.902,19770.085,1950.032,33004.769,286563.89,9041.979,8879.691,3.368,600.386,3552.303,5080.11,90008.221,1808.24,1111.132,37143.336,2737.386,6531.792,24707.662,10417.555,20489.964,279.197,3885.274,2110.48,37752.903,604.844,36791.113,4807.691,1093688.408,2232.117,854.207,31528.045,14897.46,2737.154,2687.947,4575.014,5579.164,3772.649,Healthy
21263.57,4870.71,50139.482,1490.216,2643.958,54872.399,5171.458,9155.631,2143.099,81.129,106126.557,230928.823,47442.905,6897.97,213.887,96015.299,428904.238,1697.035,53395.126,19191.622,271937.304,71338.185,15315.634,28971.251,100438.055,16975.645,3087.022,46764.804,7091.943,665.2,30341.994,6844.023,57483.948,6.185,1399.673,40049.223,6844.023,1337.878,23952.889,42573.108,68390.183,315789.098,8885.405,4529.525,26935.862,2590.257,39941.337,363.227,99324.722,90853.514,26532.727,2267.513,43570.461,354716.304,12465.204,13042.079,6.768,398.957,5050.125,9115.336,100877.799,1393.455,1247.809,44310.866,4505.617,8224.015,30261.73,14058.131,24578.747,213.722,5332.398,3214.863,50534.063,300.112,50898.693,7377.453,1381400.428,3059.163,895.724,44804.007,21119.76,3810.354,4287.232,5813.863,10913.94,4079.545,Healthy
11759.485,2469.221,24008.787,476.398,1190.703,26493.802,2689.457,5013.282,828.503,5.064,48896.741,103302.959,23412.005,3475.187,28.97,43389.351,194970.188,708.029,27412.474,9233.274,126972.174,30243.631,7321.383,10560.547,46567.066,7027.772,1420.294,22175.018,2906.756,458.366,14044.736,2878.578,20770.249,0.0,634.887,17910.053,2878.578,501.482,10463.906,20772.933,30515.928,144427.501,1713.451,2443.311,11022.545,1151.205,16496.849,11.97,44257.24,43372.635,10915.926,234.962,19582.607,147996.679,4802.143,4443.433,0.0,97.097,1700.792,3685.363,44654.16,634.887,529.463,18730.732,1872.063,4340.53,11392.69,6774.763,9918.678,88.247,2181.694,1292.553,20293.468,238.438,22039.599,2497.107,610128.641,1319.869,147.268,19666.209,8748.197,1593.905,1502.846,2188.71,3062.804,1604.668,Healthy
