Phenylalanine metabolism,Degradation of aromatic compounds,"Valine, leucine and isoleucine degradation",Nitrogen metabolism,Phenazine biosynthesis,alpha-Linolenic acid metabolism,Biosynthesis of various other secondary metabolites,Benzoate degradation,Fatty acid degradation,Xylene degradation,Taurine and hypotaurine metabolism,Galactose metabolism,Glycosaminoglycan degradation,Fatty acid elongation,Biosynthesis of various antibiotics,Mannose type O-glycan biosynthesis,Methane metabolism,Glycolysis / Gluconeogenesis,Terpenoid backbone biosynthesis,Microbial metabolism in diverse environments,Thiamine metabolism,Carbon fixation pathways in prokaryotes,Carbon metabolism,Carbon fixation in photosynthetic organisms,Lysine biosynthesis,"Glycine, serine and threonine metabolism",C5-Branched dibasic acid metabolism,Pyruvate metabolism,Pentose phosphate pathway,Citrate cycle (TCA cycle),beta-Alanine metabolism,"Valine, leucine and isoleucine biosynthesis",Pantothenate and CoA biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Porphyrin metabolism,Glycerophospholipid metabolism,Propanoate metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,Lysine degradation,Biotin metabolism,Fatty acid biosynthesis,2-Oxocarboxylic acid metabolism,One carbon pool by folate,O-Antigen nucleotide sugar biosynthesis,Polyketide sugar unit biosynthesis,Streptomycin biosynthesis,Butanoate metabolism,Purine metabolism,Fatty acid metabolism,Lipopolysaccharide biosynthesis,Folate biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of cofactors,Oxidative phosphorylation,Glyoxylate and dicarboxylate metabolism,Cysteine and methionine metabolism,Lipoic acid metabolism,Riboflavin metabolism,Sphingolipid metabolism,Nucleotide metabolism,Tryptophan metabolism,Sulfur metabolism,Biosynthesis of nucleotide sugars,Vitamin B6 metabolism,Nicotinate and nicotinamide metabolism,Starch and sucrose metabolism,Glutathione metabolism,Glycerolipid metabolism,Phenylpropanoid biosynthesis,Pyrimidine metabolism,Tyrosine metabolism,Amino sugar and nucleotide sugar metabolism,Ascorbate and aldarate metabolism,Pentose and glucuronate interconversions,D-Amino acid metabolism,Fructose and mannose metabolism,Arginine and proline metabolism,Inositol phosphate metabolism,Primary bile acid biosynthesis,Arginine biosynthesis,"Alanine, aspartate and glutamate metabolism",Histidine metabolism,Carotenoid biosynthesis,Biosynthesis of type II polyketide products,class
560.952,858.24,1698.368,3268.49,27.43,60.771,211.018,502.195,1613.779,498.319,1061.934,3715.823,1135.031,488.961,706.373,261.222,10180.073,20847.329,4830.908,64727.979,5673.86,20120.795,87630.074,15063.398,11752.488,4240.487,1251.733,5685.466,15116.541,19382.25,151.99,11268.882,9930.913,8866.957,11704.865,1124.987,722.137,57918.332,288611.993,47295.83,558.279,5979.772,20139.935,10210.133,9435.691,1173.741,1138.871,1138.871,399.157,10480.723,22109.79,3944.638,22515.284,2436.874,75035.353,7126.689,5244.683,8631.653,1358.475,6396.582,38.865,10659.401,1119.64,1310.844,8290.104,688.628,2534.238,4744.825,194.587,620.901,339.609,9073.316,530.71,5622.022,2077.666,830.151,84.562,815.229,1104.126,64.542,0.0,2577.638,1510.53,1979.24,32.2,4.386,Healthy
1289.965,1938.082,6643.898,16151.177,9.626,10.128,500.108,1092.599,3072.111,1091.307,3693.054,9834.16,2945.959,890.024,1846.389,706.844,35730.664,57315.155,13561.553,207949.273,15338.402,66360.297,270272.044,44115.191,33842.55,11978.623,5152.879,18782.03,44008.107,57350.08,286.164,39023.355,30789.134,29007.995,31184.186,3114.36,3129.972,175260.341,846316.263,138382.109,1811.281,15347.406,53043.008,34489.444,27615.07,3082.208,3076.298,3076.298,860.233,31390.012,56521.313,9930.833,68059.38,6866.942,210915.035,18772.471,16880.141,25144.459,3020.584,17175.512,113.477,33612.316,2627.192,2717.022,22439.505,1821.041,5768.715,12648.267,324.637,1484.531,838.19,28575.502,1435.257,15460.923,5770.895,2433.942,219.919,1787.222,3533.893,75.288,0.0,6901.58,3486.243,4818.296,12.924,1.921,Healthy
1601.222,2396.172,6332.492,13353.268,130.848,106.407,648.62,1356.725,4892.606,1355.904,4009.26,13849.763,4810.258,1327.8,2269.718,1003.705,35537.556,75809.098,16680.664,239129.337,18498.742,77691.104,323280.712,57235.038,42888.72,14992.594,4837.526,23033.331,54980.454,71427.651,514.3,41779.141,38344.731,32382.101,39255.286,3594.507,2566.876,208729.944,1034602.52,170496.004,2095.114,19200.028,70786.981,37191.318,32629.51,5542.811,5054.782,5054.782,1214.47,38347.271,76430.957,12347.605,72991.833,9527.923,258761.559,32294.446,18779.578,31427.905,4750.61,22666.656,123.066,38231.216,4136.158,4796.236,30001.581,2699.587,9485.403,17539.694,467.439,1787.091,1016.692,33531.333,2232.37,20014.732,6836.2,3414.407,327.619,3040.529,3860.477,174.046,1.684,8146.441,5135.705,7388.989,92.87,19.343,Healthy
1249.995,1938.467,4657.966,10158.669,83.98,116.508,900.025,1093.458,3862.301,1086.998,2934.501,8808.228,2714.384,1011.878,1992.457,616.813,25219.443,49730.289,13544.82,163095.565,14445.951,53661.155,223742.579,37044.006,30971.268,10851.779,3877.448,16382.403,35638.985,51890.018,329.911,30072.66,25683.265,25112.2,27450.095,2963.931,1752.272,151423.208,733062.974,125200.988,1911.213,15784.385,53884.819,27936.711,23353.173,3216.014,3115.817,3115.817,882.894,25229.913,58163.89,10556.652,51806.141,6850.954,183417.087,24178.704,14319.967,21202.25,3812.451,14438.786,90.264,25420.212,2716.086,3410.793,21077.395,2427.892,6266.219,10698.402,472.647,1397.254,763.443,22707.956,1580.901,13586.567,3711.116,2151.14,160.886,1642.639,2826.987,376.698,3.384,7618.142,3714.036,5477.309,292.996,0.961,Healthy
445.371,764.655,3099.064,8079.759,37.658,2.544,677.882,407.04,835.649,403.756,1984.706,4490.12,687.793,78.022,743.068,327.505,13227.665,27462.892,8883.019,84680.043,6362.877,28075.368,119300.424,17644.391,14955.402,5377.909,2764.077,8940.066,18865.627,32163.541,89.82,22023.995,15820.5,15592.524,12488.51,1304.765,686.944,89248.055,391860.74,74087.47,975.605,5928.079,27646.278,19882.093,13010.392,2162.557,2157.403,2157.403,622.789,14220.522,27995.483,2316.374,28627.349,4288.102,94669.465,8776.804,6782.072,11167.4,2909.141,7519.26,77.516,13878.297,1585.625,1365.783,10575.023,1218.666,3241.338,5639.962,324.631,897.862,351.555,12741.328,1060.187,7446.857,2378.764,913.082,35.262,1270.46,1459.252,103.8,0.0,4992.714,2153.882,2576.385,2.26,0.0,Healthy
1331.101,2076.352,5702.298,13630.836,106.889,53.253,896.599,1222.918,5247.847,1222.918,3349.031,9659.475,2567.316,1030.417,1645.241,806.163,27256.571,59057.147,14445.089,183574.123,16570.112,59563.716,249117.998,42521.786,32274.539,12354.574,4083.522,18253.899,39975.007,59680.914,503.324,32251.763,29355.817,24943.079,31353.329,3228.99,1914.728,159345.446,800465.441,134258.797,2151.496,14308.183,53180.791,29230.668,25575.273,3906.69,3866.82,3866.82,1004.511,28335.81,58578.237,9681.319,57253.089,7859.108,204219.139,25197.912,13645.875,22837.069,5586.455,17606.39,123.407,27966.439,3151.817,3407.137,22219.097,2334.526,7086.952,11153.517,485.934,1571.571,684.398,24180.948,1706.121,14745.2,4769.48,2373.185,337.767,2141.688,2540.599,286.807,0.0,6177.28,3618.226,4626.903,165.352,15.351,Healthy
1833.328,2505.549,6283.39,10167.711,141.44,113.949,1215.565,1415.563,7328.529,1415.563,3322.625,11658.508,3783.284,1444.31,2301.507,860.358,29039.032,65174.258,16839.866,199845.453,20197.624,65914.623,276627.179,46808.479,34060.407,12552.044,3829.757,20237.151,46892.028,63626.055,645.9,32091.9,31006.635,27652.56,36286.495,3566.372,2176.674,168480.049,894513.453,147677.532,2469.433,18356.794,63959.602,29071.32,28111.675,4029.276,3973.432,3964.36,1158.26,30526.569,71822.983,13018.43,63236.117,8243.916,232659.779,28444.782,15588.14,25007.295,5393.849,20484.606,75.633,29907.773,3414.373,3661.115,25842.857,3029.28,8108.262,13610.01,429.976,1762.967,871.711,26945.21,1690.833,17253.466,4785.911,2537.11,310.623,2271.759,2740.073,382.643,0.0,6694.594,3972.491,5269.942,292.822,2.193,Healthy
2101.64,2981.163,8368.787,13612.673,147.058,98.748,1653.032,1809.532,9061.192,1808.24,3966.517,14051.858,4322.581,1950.032,2728.076,914.712,33097.32,81468.321,20489.964,238053.162,23339.674,75903.777,334624.428,57214.476,41177.919,15146.567,5063.354,25251.486,56268.848,80938.503,854.207,39469.539,36658.254,31815.519,52473.527,5349.769,2737.154,204603.083,1093688.408,181204.917,3576.577,23114.216,80160.902,36407.119,33004.769,4958.353,4787.171,4787.171,1143.064,37752.903,90008.221,16467.257,75003.492,10417.555,286563.89,37143.336,19770.085,30357.132,6531.792,24707.662,279.197,36791.113,3885.274,4575.014,32987.433,3772.649,9041.979,14897.46,714.346,2232.117,1111.132,31528.045,2110.48,21786.507,5080.11,2687.947,600.386,2737.386,3552.303,604.844,3.368,8879.691,4807.691,5579.164,441.159,179.628,Healthy
2143.099,2643.958,9155.631,21263.57,213.887,81.129,1490.216,1399.673,8885.405,1393.455,5171.458,15315.634,4870.71,2267.513,2590.257,1337.878,47442.905,96015.299,24578.747,315789.098,28971.251,106126.557,428904.238,71338.185,54872.399,19191.622,6897.97,30341.994,68390.183,100438.055,895.724,53395.126,46764.804,42573.108,57483.948,4529.525,3810.354,271937.304,1381400.428,230928.823,3087.022,23952.889,90853.514,50139.482,43570.461,7091.943,6844.023,6844.023,1697.035,50534.063,100877.799,16975.645,99324.722,14058.131,354716.304,44310.866,26532.727,40049.223,8224.015,30261.73,213.722,50898.693,5332.398,5813.863,39941.337,4079.545,12465.204,21119.76,665.2,3059.163,1247.809,44804.007,3214.863,26935.862,9115.336,4287.232,398.957,4505.617,5050.125,300.112,6.768,13042.079,7377.453,10913.94,363.227,6.185,Healthy
828.503,1190.703,5013.282,11759.485,28.97,5.064,476.398,634.887,1713.451,634.887,2689.457,7321.383,2469.221,234.962,1151.205,501.482,23412.005,43389.351,9918.678,144427.501,10560.547,48896.741,194970.188,30243.631,26493.802,9233.274,3475.187,14044.736,30515.928,46567.066,147.268,27412.474,22175.018,20772.933,20770.249,2443.311,1593.905,126972.174,610128.641,103302.959,1420.294,10463.906,43372.635,24008.787,19582.607,2906.756,2878.578,2878.578,708.029,20293.468,44654.16,7027.772,44257.24,6774.763,147996.679,18730.732,10915.926,17910.053,4340.53,11392.69,88.247,22039.599,2181.694,2188.71,16496.849,1604.668,4802.143,8748.197,458.366,1319.869,529.463,19666.209,1292.553,11022.545,3685.363,1502.846,97.097,1872.063,1700.792,238.438,0.0,4443.433,2497.107,3062.804,11.97,0.0,Healthy
