Number of Features,Ensemble.csv,correlation_ranking.csv,info_gain_ranking.csv,info_gain_ratio_ranking.csv,mrmr_ranking.csv,relief_ranking.csv,sym_uncertainty_ranking.csv
1,0.525,0.3333333333333333,0.525,0.525,0.525,0.475,0.35
2,0.4666666666666667,0.3,0.4833333333333334,0.4833333333333334,0.4833333333333334,0.425,0.4333333333333334
3,0.425,0.35,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.45,0.35833333333333334
4,0.425,0.37499999999999994,0.4833333333333334,0.4833333333333334,0.4833333333333334,0.5416666666666667,0.3583333333333333
5,0.5,0.4083333333333333,0.425,0.425,0.425,0.4666666666666666,0.3083333333333333
6,0.4916666666666666,0.39166666666666666,0.5,0.5166666666666667,0.5,0.55,0.41666666666666663
7,0.5083333333333334,0.4666666666666666,0.4416666666666667,0.6583333333333333,0.6583333333333333,0.6083333333333333,0.3833333333333333
8,0.5083333333333333,0.4333333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5750000000000001,0.4083333333333333
9,0.525,0.4083333333333334,0.575,0.575,0.575,0.525,0.4083333333333333
10,0.5333333333333333,0.4083333333333334,0.5583333333333333,0.5833333333333333,0.6,0.525,0.425
11,0.5416666666666667,0.4083333333333334,0.5583333333333333,0.5583333333333333,0.5916666666666666,0.525,0.4333333333333334
12,0.525,0.4583333333333333,0.5583333333333333,0.5583333333333333,0.575,0.525,0.4583333333333333
13,0.5083333333333333,0.4666666666666667,0.525,0.525,0.55,0.5166666666666666,0.4916666666666667
14,0.5,0.4416666666666666,0.525,0.525,0.5666666666666667,0.5166666666666666,0.4916666666666667
15,0.4666666666666667,0.4416666666666666,0.5333333333333333,0.5333333333333333,0.5583333333333333,0.5166666666666666,0.4833333333333333
16,0.4666666666666667,0.4416666666666666,0.5416666666666666,0.5416666666666666,0.5583333333333333,0.5166666666666666,0.4416666666666667
17,0.475,0.3916666666666666,0.525,0.525,0.5833333333333334,0.525,0.45833333333333337
18,0.475,0.4083333333333334,0.5083333333333333,0.5083333333333333,0.575,0.5083333333333334,0.4833333333333334
19,0.475,0.4083333333333334,0.525,0.525,0.5833333333333333,0.5,0.475
20,0.4666666666666667,0.4083333333333334,0.5333333333333333,0.5333333333333333,0.5666666666666667,0.5,0.4833333333333333
21,0.4666666666666667,0.4083333333333333,0.5333333333333333,0.5333333333333333,0.575,0.525,0.4666666666666666
22,0.4666666666666667,0.4333333333333334,0.5333333333333333,0.5333333333333333,0.5833333333333333,0.5333333333333334,0.4916666666666666
23,0.4333333333333333,0.45833333333333337,0.5416666666666666,0.5416666666666666,0.5666666666666667,0.525,0.4916666666666666
24,0.45833333333333337,0.4416666666666666,0.525,0.525,0.5666666666666667,0.5166666666666666,0.4666666666666666
25,0.4416666666666667,0.45,0.5166666666666666,0.5166666666666666,0.5583333333333333,0.5083333333333333,0.4833333333333333
26,0.45,0.45,0.5166666666666666,0.5166666666666666,0.5583333333333333,0.5083333333333333,0.4666666666666667
27,0.45,0.45,0.5166666666666666,0.5166666666666666,0.5583333333333333,0.5,0.4583333333333333
28,0.4583333333333333,0.45,0.5250000000000001,0.5583333333333333,0.5583333333333333,0.5083333333333333,0.4666666666666667
29,0.4583333333333333,0.45833333333333337,0.5166666666666667,0.5583333333333333,0.5583333333333333,0.5166666666666667,0.45833333333333337
30,0.45,0.4583333333333333,0.5166666666666666,0.5583333333333333,0.5583333333333333,0.5083333333333334,0.4666666666666667
31,0.45,0.45,0.4833333333333333,0.5333333333333334,0.5333333333333334,0.5,0.45833333333333337
32,0.45,0.45,0.4416666666666666,0.525,0.525,0.5,0.45
