mrmr_ranking.csv,sym_uncertainty_ranking.csv,relief_ranking.csv,info_gain_ratio_ranking.csv,info_gain_ranking.csv,correlation_ranking.csv,Ensemble.csv,Randomized.csv
"(1, 0.6141975308641974, 0.708531746031746)","(1, 0.5895061728395061, 0.6533730158730159)","(1, 0.6358024691358024, 0.7446428571428572)","(1, 0.6358024691358024, 0.7843253968253968)","(1, 0.6172839506172838, 0.7097222222222223)","(1, 0.5987654320987654, 0.6917989417989417)","(1, 0.5802469135802468, 0.6462301587301588)","(1, 0.6450617283950617, 0.7243386243386243)"
"(2, 0.712962962962963, 0.6980158730158731)","(2, 0.7530864197530864, 0.6580687830687831)","(2, 0.7253086419753085, 0.7030423280423281)","(2, 0.7160493827160492, 0.7301587301587302)","(2, 0.6975308641975309, 0.6808862433862435)","(2, 0.7530864197530864, 0.7841931216931217)","(2, 0.7469135802469136, 0.6808862433862435)","(2, 0.5462962962962963, 0.6390873015873015)"
"(3, 0.5740740740740741, 0.5091269841269841)","(3, 0.7746913580246914, 0.7646164021164021)","(3, 0.6358024691358024, 0.585383597883598)","(3, 0.6049382716049383, 0.5660714285714286)","(3, 0.617283950617284, 0.5906084656084656)","(3, 0.6882716049382717, 0.7085978835978836)","(3, 0.6419753086419753, 0.5986111111111111)","(3, 0.5987654320987654, 0.6438492063492064)"
"(4, 0.6018518518518519, 0.5483465608465609)","(4, 0.7592592592592593, 0.770436507936508)","(4, 0.5, 0.42334656084656086)","(4, 0.5987654320987654, 0.5424603174603175)","(4, 0.5925925925925926, 0.571031746031746)","(4, 0.6049382716049383, 0.6652116402116401)","(4, 0.5524691358024691, 0.47824074074074074)","(4, 0.6419753086419753, 0.6285714285714286)"
"(5, 0.5462962962962963, 0.5107804232804233)","(5, 0.7160493827160495, 0.7554232804232803)","(5, 0.5648148148148149, 0.5418650793650793)","(5, 0.5987654320987654, 0.6209656084656084)","(5, 0.5771604938271604, 0.5307539682539683)","(5, 0.6296296296296295, 0.6556878306878307)","(5, 0.5895061728395061, 0.526521164021164)","(5, 0.5895061728395061, 0.5926587301587302)"
"(6, 0.5648148148148149, 0.5247354497354497)","(6, 0.75, 0.7007936507936507)","(6, 0.5493827160493827, 0.5392195767195767)","(6, 0.5679012345679012, 0.5193783068783069)","(6, 0.5925925925925926, 0.5904100529100529)","(6, 0.5864197530864197, 0.5616402116402116)","(6, 0.6635802469135802, 0.6460317460317461)","(6, 0.6296296296296295, 0.5861111111111111)"
"(7, 0.6018518518518519, 0.5828703703703704)","(7, 0.7376543209876543, 0.6900132275132275)","(7, 0.5987654320987654, 0.5577380952380953)","(7, 0.6851851851851851, 0.684457671957672)","(7, 0.691358024691358, 0.6318783068783069)","(7, 0.5740740740740741, 0.574074074074074)","(7, 0.6358024691358024, 0.6214285714285714)","(7, 0.6172839506172839, 0.619973544973545)"
"(8, 0.654320987654321, 0.6918650793650793)","(8, 0.654320987654321, 0.5984126984126984)","(8, 0.6234567901234568, 0.5869047619047619)","(8, 0.6790123456790123, 0.7584656084656085)","(8, 0.6450617283950617, 0.6165343915343916)","(8, 0.6018518518518519, 0.5767195767195767)","(8, 0.6697530864197531, 0.6591931216931217)","(8, 0.6049382716049383, 0.6236772486772486)"
"(9, 0.5987654320987654, 0.5609788359788359)","(9, 0.5833333333333334, 0.5478835978835979)","(9, 0.5925925925925926, 0.5475529100529101)","(9, 0.5802469135802468, 0.5176587301587301)","(9, 0.6975308641975309, 0.7668650793650794)","(9, 0.6450617283950617, 0.621031746031746)","(9, 0.611111111111111, 0.5311507936507935)","(9, 0.6296296296296295, 0.5900132275132275)"
"(10, 0.6172839506172839, 0.5661375661375663)","(10, 0.5277777777777778, 0.551058201058201)","(10, 0.6111111111111112, 0.5476851851851852)","(10, 0.6018518518518519, 0.5701058201058201)","(10, 0.5833333333333333, 0.5540343915343915)","(10, 0.5864197530864197, 0.5466269841269842)","(10, 0.6388888888888888, 0.614484126984127)","(10, 0.632716049382716, 0.6287698412698413)"
